stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.38,0,0,0,16.93,0,0,0,0,0,0,0,0
 10-12,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69,0,0,0,5,0,0,0,0,0,0,0,0
 14-21,0,0,2.19,1.07,0.83,0,0,0,3.67,0,0,0,0,0,0,0,3.13,0.83,76.6,0,0,0,0,0,0,0.88,28.34,0,4.34,0,0
 24-34,0,0,2.19,0,4.32,0,0,0,3.58,0,0,0,0,0,0,0,5.03,3.13,306.47,0,6.08,1.37,0,0,0,0,103.81,0,3.09,0,0
 36-46,0,0,0,0,43.17,0,0,0,11.38,0,0,0,0,0,0,0,10.92,5.2,523.76,0,6.55,3.61,0,0,0,0,99.38,0,2.04,0,0
 48-58,0,0,0.82,0,176.82,0,0,0,17.02,0,3.95,0,0,0,0.5,5.12,8.51,0,1032.69,6.45,9.78,0.8,0,0,0,0,94.06,0,0.77,0,0
 60-70,0,0,2.23,0,492.84,0,0.59,1.81,24.6,0,0,0,0,0,0.71,0,5.09,1.48,1112.09,1.73,2.3,4.06,0,6.93,0,0,114.12,2.73,2.55,0,3.58
 72-82,0,0,4.57,0,771.71,0,0.81,1.65,21.69,1.82,0,0,0,5.83,0,0,19.93,0,1307.61,0,10.83,3,0,1.49,0,0,94.41,0,2.55,0,0
 84-94,0,0,5.73,0,534.41,0,0,1.27,23.3,2.03,0,0.64,0,0,0,0,17.25,0.91,892.67,0,3.49,3.75,0,0,0,0,89.24,0,0,3.7,0
 96-106,0,0,13.12,7.03,527.79,0.99,0.75,0,28.31,0,0,0,0,0,0.79,0,7.98,3.45,847.42,0,8.68,4.27,0,2.13,0,0,23.78,2.08,2.1,0,5.1
108-118,0,0,8.91,6.87,516.59,1.3,0,0,42.9,0,0,2.33,0.86,0,0,0,8.77,0,874.58,0,8.03,3.7,0,0,0.84,0,33.73,4.29,0,1.13,0
120,0,1.28,41.65,6.51,696.21,0,0,0,42.89,8.92,0,0,0,0,1.77,0,17.62,2.28,1526.08,0,4.21,21.96,0,3.21,0,0,26.93,3.15,0,0,0
