stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,37.08,106.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.57,0,0,24.46,0,0,0,0,0,0,0
 10-12,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.86,0,0,20.97,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,4.47,0.88,1.22,0,0,0,0,0,0,0,0,0,4.13,0,0,0,58.96,2.3,1.59,1.04,3.02,6.36,0,1.96,23.89,0,0
 24-34,0,0,0,0.64,0.95,1.97,13.19,0,0.6,0,0,0,0,0,0,0,2.26,0.61,0,4.85,74.36,0,1.4,0,6.82,0,0,0,14.74,0,0
 36-46,0,0,0,0,3.13,0,37.88,0,1.51,0,0,0,0,0,0,1.49,1.36,1.07,0,0,92.2,0.57,0,0,4.02,0,0,0,24.21,0,0
 48-58,0,0,0,0,2.28,0,38.44,0.62,2.7,1.96,0,0,0,0,0,0,3.68,0,0.63,4.25,47.42,0,4.37,0,0.95,0,0,0,7.32,0,0.48
 60-70,0,0,0,0,10.49,0,34.69,0,17.77,2.89,0,0,0,0,0,0,7.91,2.85,0,0,17.9,0,0,0,0,0,0,0,3.53,0,0
 72-82,0,0,0.56,0,1.09,0,3.56,0,2.94,0,0.58,2.05,0,0,0,0,4,0,0,5.02,14.27,0.67,0,0,5.86,0,0.77,0,9.74,0,0
 84-94,0,0,0,0,1.51,0,7.19,0,6.23,5.13,1.6,1.12,10.27,0,0.57,0,1.08,0,1.43,0,22.46,0,0,0,2.32,0,1.07,0,1.08,0.83,0
 96-106,0,0,0,0,0.89,0,0,0,2.03,3.04,0.65,0.66,0,0.72,0,0,0.64,1.61,0,0,15.39,0,0,0,0.72,0,0,0,0,0,0.87
108-118,0,0,0,0,0.45,0,2.26,0,3.02,0,0,0,0,0,0.73,0,2.62,0,1.62,0.76,7.95,0,4.18,0,1.53,0,0,0,0,0.41,0
120,0,0,0,0,2.96,1.62,9.01,0,0,0,0,0,0,0,0,0,1.42,0,0,0,16.33,0,0,0,0,0,0,0,0,0,6.12
