stage,eye,heart,mesenchyme,muscle,neural,periderm
 24-34,2.01,0,0,0,0,0
 36-46,0,0,0,0,0.96,1.05
 48-58,0,0,0,0.87,0.69,0
 60-70,3.71,0.77,0,0,0,0
 72-82,0,0,0.8,0,0,0
108-118,0,0,0,0,3.31,1.19
