stage,blastomeres,eye,hatching.gland,immune,mesenchyme,neural
  5-6,26.5,0,0,0,0,0
  7-9,0,0,5.39,0,0,3.72
 10-12,0,4.16,0,0,0,19.7
 14-21,0,0,0,0,0.86,2
 36-46,0,0.68,0,0,0,1.28
 72-82,0,0,0,0,0,0.68
 96-106,0,0,0,0,0,0.64
108-118,0,0,0,0,0,0.75
120,0,0,0,1.14,0,0
