stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.72,0,0,0,0,2.95,0,0,0
 24-34,0,0,1.7,0,0,1.03,0.67,0,0,0,0,0,78.46,0,0.99,0,2.9,18.28,0,0,0
 36-46,1.25,0,5.1,0,0,9.98,0,0,0,0,1.57,1.31,198.33,0,0,0,0,49.02,0,0,0
 48-58,3.57,0,43.7,0,0.65,62.4,0,0,0,0,2.81,0.55,364.42,0,0,0,0,87.47,0,0,0
 60-70,0,0,102.18,3.43,0,87.27,0,0.8,0,0,9.55,0,590.68,0,0,2.31,0,101.38,0,0,0
 72-82,14.82,0,82.05,0,1.73,77.97,0,0,0,0,3.96,0,413.02,0,0,0,0.73,72.2,0,0,0
 84-94,3.22,0,61.18,0,0,38.34,0,0,0,0,3.93,1.16,251.54,0,0,1.11,0,20.03,0,0,0
 96-106,0,0,31.15,0,0,39.37,0,0,0,0,3.62,0,217.21,2.22,0,0,0,19.3,0,1.13,0
108-118,4.61,0.94,33.03,0,0,74.01,0,0,0.86,0,0.43,0,159.45,0,0,0,0,7.01,0.5,0,1.42
120,2.07,0,141.94,0,0,241.71,0,0,0,2.7,47.21,0,828.04,12.35,13.55,0,0,19.83,1.37,0,0
