stage,endoderm,epidermis,eye,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,vasculature
  7-9,6.91,0,0,0,0,0,0,0,0,0,8.99,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.01,0,0,0
 14-21,0,0,2.32,0,0,0,0,0,0,1.85,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4,0,0.9,0
 48-58,0,0,0.66,0,0,0,0,0,0,1.73,0,0,0
 60-70,0,0,0,0,0,0,0,0.7,0.73,0.91,0,4.38,1.48
 72-82,0,0,0,0,0,0,1.07,1.78,0,2.09,0,2.69,0
 84-94,0,0,0,0,0,0,0,1.07,0,0,0,8.09,1.71
 96-106,0,0,6.26,3.14,0,0,0,2.71,0,0,0,7.25,0
108-118,0,0,0,0.68,0,0.67,0,0.76,0,5,0,1.01,0
120,0,1.25,0,0,1.97,0,0,0,0,0,0,5.34,0
