stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,5.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,21.07,0,4.98,0,0,0,0,6.53,0,0,0,0
 24-34,0,1.97,0,0,1.7,0,0,0,0,0,0,0,0,0,0,190.7,0,9.32,0,0,0,0,56.11,0,0,0,0
 36-46,0,0,0,0,6.45,0,0.63,0,0,0,0,0,0.63,0,0.67,728.5,0,24.52,0,0,0,0,113.99,0,0,0,0
 48-58,0,4.42,0,0,101.86,0,16.15,0,0,0,0,0,3.64,0,0,933.18,0,7.57,0,0,0,0,145.43,0,0,3.06,2.85
 60-70,0,5.78,0,0,359.41,0,7.5,0,0,0,0,0,2.29,0.87,3.55,1337.87,0,15.78,0,0.84,2.15,0.62,157.85,0,0,0.72,0
 72-82,0,0.71,4.18,0,504.13,0.5,6.07,0,0,0,0,0,16.16,0.89,0,1028.83,0,23.81,0,0,1.61,0,131.44,0,0,3.58,0
 84-94,0,4.51,0.79,0,341.87,0,12.65,0.66,1.12,0,0,0,3.11,10.18,0,599.78,0,5.05,0,0,0,0,77.9,0,0.63,0,0
 96-106,0,2.46,0,5.91,254.63,0,9.39,0.71,0,0.95,0.92,1,9.67,5.65,1.46,568.49,0,9.25,0,0,5.1,0,50.42,0,0,0,0
108-118,0,4.86,0,0,250.17,0,13.72,0,0,0.55,0,0,2.09,0,1.18,727.54,0,18.79,0.78,0,1.77,0,30.33,0.67,0,2.06,0
120,0,5.47,0,0,269.48,0,56.66,0,0,0,0,0,23.37,2.35,2.62,1180.89,0,37.67,0,0,6.07,0,66.85,0,0,0,0
