stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,54.56,1715.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.13,1244.86,0,6.55,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,41.3,0,0,0,0,0,15.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.79,36.65,0,31.17,0,6.96,0,232.82,0,0,0,0,0,33.6,0,0,0,0,0,0,0,0,0,0,1148.97,30.13,0,0,247.4,0,3.31,29.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.22,0,40.15,0,0,0,156.11,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0,0,0,1215.97,63.81,0,0,407.18,0,0,6.79,0,61.94,0,5.41,0,0,0,0,0,0
 14-21,0,0,0,1.72,23.42,19.78,0,17.82,0,0,0,3.15,1.28,0,0,0,0.95,0,0,0,15.34,0,0,13.25,210.01,11.7,0,3.08,2.39,0,13.01,0,10.59,5.39,0,25.56,69.66,0,0,0,0,0
 24-34,0,0,0,0.76,14.16,9.35,0,47.15,0,0.62,1.5,2.7,1.8,3.09,0.76,0,2.46,0.97,0,2.83,46.71,0,0,11.75,600.66,3.53,9.14,3.18,0,0,37.81,0,0,0,0,9.77,113.81,0,0,12.11,0,1.48
 36-46,0,0,0,0,5.95,3.16,0,76.97,0,1.06,0.78,32.62,3.21,0,1.65,0,5.76,2.31,2.96,12,41.55,0,0.89,15.78,583.47,2.15,0,3.07,0,0,74.96,0,0,0.67,0,0,130.2,0,0,2.17,0,2.67
 48-58,0,0,0,0,10.27,3.38,0,148.9,0.71,16.03,6.35,50.23,2.08,0,0.83,0,3.61,0.63,2.28,2.27,46.04,0,8.56,9,489.33,20.2,1.65,7.55,0,0,9.34,0,0,1.19,0,0,91.93,0,0,17.5,0,4.61
 60-70,0,0,0,2.79,8.79,12.29,0,114.16,5.13,6.72,1.92,40.77,4.03,0,0,3.15,0,4.52,0,3.83,57.52,0,3.45,4.58,206.73,9.4,2.18,5.52,0,0,32.32,0,0,0.58,0,0,28.55,0,0.57,6.16,0,0
 72-82,0,0,0,0,18.51,9.96,0,128.35,0,0.63,6.22,45.73,2.97,0,0,2.37,0,0,0,0,91.45,2.32,7.92,3.97,199.45,0,3.89,0,0,1.4,9.68,0,0,0.53,0,0,16.43,0,4.57,23.17,1.65,2.39
 84-94,0,0,0,0,22.13,11.83,0,82.26,0,0,1.79,50.79,1.73,2.66,0,6.88,2.76,0,0.66,0,61.69,0.57,4.8,8.02,100.97,0.57,0,1.5,0,0,32.29,0,0,0.64,0,0,12.16,2.69,1.67,8.51,2.68,0
 96-106,0,0,2.36,0,17.76,20.25,0,58.56,10.44,6.1,5.23,26.8,2.85,0,0.82,5.19,0.95,1.9,1.07,4.79,63,0,5.93,6.55,84.58,5.21,0,5.5,0,0,35.68,0.93,0,0.82,0,0,5.56,0,1.24,14.18,6.38,0
108-118,0,0,0,0,17.38,17.59,5.93,54.35,0,2.52,3.12,39.35,1.59,0,2.9,10.75,1.64,4.5,0.87,8.05,53.91,0.53,0.56,6.26,109.31,0.42,3.14,3.58,0,0,40.1,0,0,1.37,0.5,0,1.86,2.33,0.75,9.82,0,2.46
120,0,0,0,0,20.59,28.31,3.5,52.63,0,2.5,0,39.11,2.58,0,0,14.7,6.23,5.74,1.6,0,110.97,0,13.71,3.25,185.5,5.65,11.87,0,0,0,8.48,0,0,0,1.52,0,8.65,1.37,0,20.41,0,0
