stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,mesenchyme,neural,spinal_cord
  3-4,9.94,74.36,0,0,0,0,0,0,0
  5-6,0,67.84,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.93,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.64,0
 36-46,0,0,0,0,0,0,0,18.66,0
 48-58,0,0,0,0,0,0,1.24,16.39,0
 60-70,0,0,0,0,16.16,0,0,34.77,0
 72-82,0,0,0,0,18.54,2.15,0,29.78,2.47
 84-94,0,0,0,0,14.93,0,0,32.62,0.79
 96-106,0,0,0,0,2.41,0.81,3.47,23.05,0
108-118,0,0,0.57,0,18.51,2.74,2.42,24.22,0
120,0,0,0,2.81,23.64,0,2.35,16.37,0
