stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.51,113.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,74.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.4,0,0,4.05,0,0,16.09,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,58.17,0,0,0,22.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.24,20.25,0,0,25.66,0,0,6.03,0,6.24,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,9.56,0.89,11,0,0,0,3.64,0.82,0,0.81,0,0.92,0.87,0,0,5.75,0,0,11.1,160.73,103.01,0,1.61,2.39,0,10.89,0,1.2,0,15.21,10.54,46.58,0,0,0,0,0
 24-34,0,0,0,3.6,5.08,0,55.38,0,3.92,1.5,8.02,0,0,3.55,0,3.43,0,0.86,0,19.47,0,0,16.34,279.85,21.31,0,1.32,0,0,60.15,0,0,0.97,37.03,4.53,63.3,0,0,12.49,0,0
 36-46,0,0,0,0.63,0,0,68.15,0,2.85,2.79,19.07,1.27,0,10.51,0,3.37,0,0,0,46.95,0,1.84,11.31,172.6,20.63,3,0.81,16.41,2.85,61.42,0.65,0,0,39.17,0,41.58,0,0.85,2.69,0,0
 48-58,0,0,0.67,0,7.58,0,71.35,1.1,2.05,2.94,17.89,0.39,0,2.74,0,0,0,0,0,100.4,0,2.77,8.71,82.36,19.5,0.74,0.38,0,1.97,58.29,0,0,0,24.91,0,26.17,0,1.32,0,0,8.73
 60-70,0,0,0.57,0,4.63,0,45.86,1.28,0,0,17,4.88,0,0.76,0,0,0,0,3.74,157.93,0,23.41,3.91,126.49,9.73,1.43,3.14,0,6.6,60.11,0,0,0,14.18,0,8.14,0,8.54,0.82,2.08,0
 72-82,0,0,2.6,0,7.74,8.01,24.06,0,0,3.18,33.96,9.02,0,6.07,0.49,0.53,0,0,0.97,197.35,0,13.05,9.54,126.14,7.78,0,2.19,0,10,24.95,0,0,0.53,8.36,0,3.1,1.36,8.82,10.06,9.32,0
 84-94,1.23,0,0,0,6.2,0,64.86,0.69,1.68,9.53,29.46,12.59,0,12.08,0,0.75,0,0,0.57,196,0,5.04,12.93,65.73,20.96,1.99,5.21,0,8.58,94.47,0,0,1.45,1.25,0,11.31,0,11.62,0,13.09,0
 96-106,0,0,0,1.03,6.03,9.08,47.63,3.02,0,3.74,15.59,7.53,0,5.06,0,1.37,0,1.11,0,156.07,0,3.37,3.37,86.06,7.32,0,0.8,0,15.09,86.9,0,0,0.71,0,0,1.31,0,10.32,0.84,15.53,0.8
108-118,0,0,1.5,0.46,9.85,1.52,86.2,2.3,4.47,13.1,29.23,9.38,0,7.12,0.67,0.64,0,1.43,5.37,182.64,1.27,6.54,4.49,155.45,11.96,0,0.43,0,15.88,105.58,0,0,0,9.19,0,3.43,5.48,13.73,2.43,6.44,5.99
120,0,0,0,0,32.35,7.08,75.57,4.08,2.24,1.44,8.94,14.12,0,1.17,0,2.13,0,0,3.24,157.25,0,0,4.75,119.32,22,3.8,14.31,0,68.08,81.73,0,0,0,0,0,0,0,27.05,1.7,22.99,0
