stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,34.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,2.16,0,0.88,0,0,0,0,0,0,0,0
 24-34,0,1.39,2.04,0,0,0,0,0,1.37,20.46,0,0,4.36,0.73,0,0,0,0.61,0,0
 36-46,0,7.89,1.47,0,0,1.56,0,0,0,22.84,0,1.44,16.82,1,0.93,0,0.97,11.39,0,0
 48-58,0,0.37,1.48,0.88,0,1.13,0,0,0,33.26,0,0,1.44,0.42,0,0,0,0.46,0,0
 60-70,0,0,3.79,0.8,0,1.28,0.76,0,0,24.6,0,1.93,8.85,0,0,6.34,0,1.44,1.2,0.85
 72-82,0,0,0.8,1.57,0,5.02,0,0,0,31.89,1.56,0.57,3.6,0,0,4.15,0,0,0,0
 84-94,0,0,0.64,0,0,4.28,0,0,0,18.01,0,1.68,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.69,1.01,0,0.63,0,23.54,0,0,7.81,0,0,0,0,0,0,0
108-118,0,0,1.46,0,0,1.54,0,0,0,28.33,0,1.6,1.04,0,0.6,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,44.42,0,11.43,0,0,0,0,0,1.21,0,0
