stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,130.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,5.81,0,0,2.94,0,0,0,0,0,318.22,0,0,0,0,0,0,0,0.88,0,0,0,16.25,2.41,0,0,0,0,8.5,2.25,0.83,0,6.17,11.67,0,0,0,0,0
 24-34,0,0,8.29,0,0,213.34,0,0,0,0.7,0,64.59,0,0,0.66,0,0,0,0,2.31,0,0,1.24,12.52,0,0.69,0,0,0,0,0,0,1.16,0,20.84,0,0,0,0,0
 36-46,0,0,13.9,0,0,726.48,0,0,1.17,0,0,12.72,0,0,0,0,0,0,0,0.93,0,0,0,12.77,1.93,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,0
 48-58,0,0,33.01,0,0,2892.9,0,5.85,3.49,14.24,0,8.76,0,0,0,0,0,0,0,2.17,0,0,6.64,66.48,0,0,0,0,0,3.49,0,0,0,0,16.77,0,0,0,0,1.42
 60-70,0,0,30.05,0.67,0,18208.34,0,0.74,0,16.17,0.63,0,0.77,9.32,14.02,0,2.2,14.62,0,35.54,0,0,2.55,205.4,0.66,1.17,1.7,0,0,9.27,0,0,0,0,36.55,1.95,0,0,0,27.33
 72-82,0,2.21,58.21,15.17,0,26128.7,2.51,8.59,18.38,76.86,2.85,8.09,0,3.61,4.92,37.3,3.35,11.65,2.32,129.1,5.7,9.48,16.08,590.51,0.72,3.92,5.96,0,0,28.81,0,0.63,1.93,0,72.35,1.56,2.27,9.21,9.7,39.49
 84-94,0,0,108.31,4.13,0,26725.38,5.25,1.66,4.98,46.76,4.23,5.18,0,5.29,0.61,18.51,2.31,8.31,2.16,99.94,0,7.28,12.23,254.48,7.51,4.84,7.22,0,0,20.65,0,5.36,0,0,35.14,4.95,4.48,28.51,14.84,15.22
 96-106,0,0,88.82,34.85,5.91,23707.93,23.23,17.12,7.73,53.77,8.05,0,4.97,17.67,6.31,9.74,1.47,6.57,0,138.64,17.29,4.05,7.12,351.99,0,7.33,4.02,1.2,2.01,59.96,0,1.06,8.06,0,36.8,3.11,7.39,14.24,3.91,11.48
108-118,6.97,2.84,32.09,24.49,1.83,17726.69,0,5.4,3.3,66.44,9.96,0,0,6.41,7.45,0,2.19,13.49,1.79,99.7,1.27,3.12,21.15,462.9,1.34,3.6,5.86,0,2.35,48.93,0,0,0.43,0,16.11,6.22,3.1,3.19,2.52,13.31
120,0,0,28.2,13.39,1.91,15089.17,9.8,36.42,1.47,48.51,2.99,0,0,2.69,3.68,9.18,1.07,12.82,0,75.94,0,3.66,8.39,428.06,1.08,0,8.7,0,0,13.65,0,1.12,2.35,0,5.41,2.39,0,27.6,12.33,17.42
