stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23,81.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.04,45.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,3.39,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.49,0,0,3.51,0.88,0,0,0,3.98,0,0,1.35,0,0,0,0,0,0,0,0,22.65,1.84,0,0,0,0,0,0,0,1.31,5.72,0,0,0,0,0
 24-34,0,0,1.33,0,1.69,0.67,0,8.16,0,0,2.26,0,0,0,6.17,0.8,0,0.79,0,3.29,4.39,0,0,0.69,94.96,2.43,4.87,0,0,2.27,0,1.99,0,0.72,22.84,0,0,3.49,0,1.93
 36-46,0,0,0.95,0,3.71,0,0,23.32,2.83,0,6.93,0,0,0,0,0,0.71,0,0,3.41,3.04,1.17,0.89,0.75,121.14,14.36,0,4.51,0,7.62,1.11,2.62,0,0,13.34,0,0,0,0,0
 48-58,0,0,0.54,0,16.2,0,0,78.39,0.92,0.4,24.76,5.94,0,0,0,0,0.47,0.95,3.43,2.13,10.73,0,1.29,0.54,195.39,4.62,0.64,4.19,0,9.43,0,0,0,0,34.52,0,0,3.56,0,2.18
 60-70,0,0,1.56,0,10.68,0,0,211.69,9.13,0,15.58,10.05,0,0,0,0.57,0,3.3,1.28,0,7.94,0,0.65,0,182.78,11.53,2.02,3.57,0,0,0.85,0,0,0,19.6,0,0,1.68,0,0
 72-82,0,0,4.14,0,9.98,0,1.09,575.84,2.02,0.59,49.94,61.05,0,0,1.21,2.68,2.65,5.51,81.76,0,18.21,0,3.36,0,304.71,7.27,2.16,9.32,0,0.51,1.65,0,0,0,26.82,1.68,4.16,3.94,0.71,0
 84-94,0,0,0,0,25.82,0,1.52,599.07,10.23,6.37,81.25,116.75,0,0.7,1.93,0,0,0.66,194.2,0.83,15.31,0.61,0,0.58,186.64,2.33,2.99,9.01,0,8.74,0,0.7,0,0,35.14,2.4,9.23,6.82,2.59,2.28
 96-106,0,0,5.59,0,21.71,19.29,0,613.19,2.49,2.29,52.68,93.78,0,0.61,4.46,0.61,0,0,305.73,0,15.95,0,0,1.81,213.06,0.77,4.3,4.16,0,11.37,0,0,0.6,0,3.93,2.63,7.94,2.35,2.48,0
108-118,0,0,2.58,2.18,64.14,1.58,4.08,581.74,2.59,1.56,112.96,123.44,0,0,1.61,1.66,0,0.98,1701.41,1.34,31.11,1.2,1.35,0.87,346.77,1.81,3,4.59,0,26.52,0,0.99,0,0,16.07,3.41,8.62,0.93,0.57,0
120,0,0,0,0,3.19,0,0,679.04,0,0,35.52,17.72,0,0,0,0,3.6,1.12,57.92,0,10.62,0,2.35,0,203.91,1.39,5.76,1.66,0,8.09,0,0,0,0,0,0,6.06,3.17,0,0
