stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.92,783.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.94,0,0,0,0,0,0,0,0,0
  5-6,53.54,936.43,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,7.94,0,0,0,0,25.83,0,0,0,0,0,0,0,0,0
  7-9,3.63,39.74,45.05,0,0,0,61.31,0,0,0,0,0,51.49,0,0,0,0,0,0,0,0,0,799.03,28.84,0,0,310.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.08,22.39,0,0,0,64.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.61,10.09,0,0,229.49,0,0,0,17.7,0,0,0,0,0,0,0
 14-21,0,0,0.81,1.76,2.91,0,1.71,0,0,0,1.99,0,0,0,0,0,0,0,0,4.42,0,1.97,46.22,0,0,0.85,0,0,1.01,6.4,0,0.88,17.58,0,0,0,0,0
 24-34,0,0,0,3.55,1.64,0,11.8,0,0,0.78,2.12,0,0,0,0.6,1.1,0,0.75,0,19.22,0,2.79,166.56,0,0.6,0.9,0,0,4.6,0,0,2.44,18.97,0,0,0,0,6.12
 36-46,0,0,0.56,0,0,0,30.84,0,0,0,1.89,0,0,0,0,9.04,0,0,0,4.37,0,1.92,92.18,0,2.16,0,0,0,7.57,0,0,0,25.53,0,0,0,0,3.75
 48-58,0,0,0,0,0,0,36.79,0.62,1.2,0.4,2.37,0,0,0,0,0,0,0,0,4.97,0,3.35,60.2,0,0,0,0,0,9.83,0,0,0,15.63,0,0,0.45,0,0.98
 60-70,0,0,0,1.01,0,0,47.64,0.66,4.82,0,15.03,0,1.77,0,0,0,0,0,1.92,3.03,0,3.72,67.46,0,0,0,0,0.71,3.55,0,0,0,6.2,0,0,0.64,0.73,0
 72-82,0,0,0,0,0,0,37.21,0,0,0,4.67,0,0,0.6,0,0,0.9,0,0,6.07,0,0.53,46.58,0,1.32,2.65,0,0,1.44,0,0,0,9.55,0,0,0.62,0,0
 84-94,0,0,0,0.9,8.39,0,21.27,0,0,0,5.24,0.82,0,0,0.65,0,0,0,0,4.28,0,1.22,35.01,0,0,5.57,0,0,12.27,0,0,0,0,3.4,0,2.25,2.78,0
 96-106,0,0,0,2.31,0,0,12.31,0,0,0,9.74,0,0,0,0,0,0,0,0,7.44,1.11,0,13.89,0,0,0,0,0,2.1,0,0,0,0,0,3.79,0,0,0
108-118,0,0,0,1.35,0.54,0,11.08,0,0,0,11.59,0,0,0,0.56,0,0,0,0,10.81,0,1.6,23.33,0,0,1.19,0,0,0.64,0,0,0,1.12,0,0.8,0,0,0
120,0,0,0,0,0,1.03,39.25,0,2.77,0,9.72,0,0,0,0,0,0,0,0,4.71,0,5.59,67.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
