stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,170.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
  5-6,14.22,78.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,0,0,0,0,8.6,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,48.96,13.62,0,0,6.41,0,0,0,0,0,0,0,0
 10-12,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.87,0,0,0,16.75,0,0,11.13,0,0,0,0,0
 14-21,0,0,0,2.92,1.23,1.09,0,0,0,1.62,0,0,0,0,0,0,0.93,0,5.93,2.99,42.02,1.47,0,0,0,0,4.14,0,5.3,8.6,0,0,5.96
 24-34,0,0,0,0.68,0,3.87,0,0,0,1.39,0,0,0,0,0,0.91,0,0.67,1.26,6.56,52.23,0.85,0.94,0,0,0,0,0,1.52,16.57,0,0.62,0
 36-46,0,0,0,0,0,16.84,0.61,0,0,5.69,0,0,0,0,0,0,0,0,18.77,0,125.07,1.01,0,0,0,0,0,0,0,17.12,0,0,1.22
 48-58,0,0,0,0,0,30.54,3.64,0,0,5.83,0,0,0,0,0.83,0,0,0,5.65,0.48,146.39,0,0.6,0.41,0,0,0,0.53,0,18.65,0,0,1.24
 60-70,0,0,0,0,0,141.07,0,0,0,11.28,0,0,0,0.71,0,0,0,0,5.89,2.76,156,0,0,0,0,0,0,0,0,28.75,0,0,10.14
 72-82,0,0,0,0,0,132.16,0,0,0,10.16,0,0,0,0,0,0,0,0,2.04,0,109.82,0,1.7,0,0,0,0,0,0,6.35,0.82,0,3.65
 84-94,0,0,1.04,0.91,0,160.99,0,0,0,10.5,1.45,0,0.8,0,0,0,0,0.91,2.96,1.22,78.46,0,1.04,0,0,0.75,0,0,0,30.79,0,3.4,1.77
 96-106,0,0,0,0.57,0,149.55,0,0,2.14,9.54,0,0,0.85,0,0,0,0,0,3.97,0,115,0,1.78,0,0,3.02,0,0,0,9.74,0,0.93,0
108-118,0,0,0,0.46,0,165.94,0,0,0.48,9.27,0.42,0,0.82,0,0,0,0,5.31,11.23,1.67,110.69,0.43,0.81,0,0,0.56,0,0,0,0.93,1.76,1.47,0
120,0,0,0,0,0,103.87,0,1.12,0,18.45,0,0,0,0,2.23,0,1.23,0,3.94,4.36,143.23,0,0,1.66,0,1,0,0,0,3.17,0,0,2.34
