stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,21.06,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.39,499.01,0,0,0,18.67,0,0,0,0,0,7.89,0,0,9.65,17.14,0,0,0
  7-9,0,0,12.92,0,9.55,13.7,0,0,0,0,0,237.05,3.56,0,62.74,0,0,0,0
 10-12,0,0,11.43,0,23.92,16.65,0,0,0,0,0,77.16,3.54,0,30.97,0,0,0,0
 14-21,0,0,0,0,1.08,0,0,0,0,0.88,0,3.44,0,0,0.81,0,1.25,1.79,2.49
 24-34,0,0,0,0,0.67,0,0,0.68,0,0,0,7.15,0,0,0,0,0,0,0.75
 36-46,0,0,0,0,0.74,0,0,0,0,5.63,3.23,0,0,1.19,0,2.66,0,0,0
 48-58,0,0,0,0,2.32,0,0.45,0,1.44,0,0,12.96,0,0,0,0,0,0,0.91
 60-70,0,0,0,0.64,1.52,0,0,0,0,2.64,0,9.51,0,0,0,3.69,0,0,0
 72-82,0,0,0,0.68,0,0,0,0,0,0.52,0,8.79,0,0,0,0,0,0,0
 84-94,0,0,0,2.61,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0
120,0,0,0,3.08,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0
