stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0.83,0,0,0,0.9,3.09,0,0,0,0
 24-34,0,1.29,0,0.63,0,0,0,0.74,0,0,0,1.4,12.3,0,0,10.53,16.2,2.3,0,0,0,0,4.57,0,10.44,0,0.91
 36-46,0,0,0,0,0,3.41,0,0,0,1.49,0,3.05,21.26,0,0,4.08,9.88,0,0,0,8.19,0,12.51,0,1.94,0,0.67
 48-58,0,0,0,2.6,0,1.46,3.62,0,0.47,6.52,0,1.05,25.27,0,0,2.28,34.06,0,0,0,0,0,5.44,0,0.5,0,0.56
 60-70,0,1.33,0,10.57,3.15,1.63,3.45,0,0.6,0.57,0,0,61.06,0,0,7.03,6.61,0.87,0,0,0,0,1.98,0,3.26,0,0
 72-82,0,0.78,0,6.46,0,9.61,9.01,0,3.55,0,0,0,43.39,0,1.46,3.61,5.73,1.77,1.39,2.26,0,0,3.38,0,1.1,0,0
 84-94,0,1.66,0,15.5,0,4.47,8.44,1.16,1.4,0.76,0,1.76,35.07,0,0.69,3.57,13.77,0,0,0,1.59,0,2.87,0,3.08,1.09,0
 96-106,0,5.17,0,1.18,0,7.23,1.48,0,0.83,1.14,1.05,1.15,19.64,0,0,2.57,5.62,1.19,0,0,1.04,0,0,1.21,1.51,1.03,1.42
108-118,0,0.56,0,1.25,0,0.46,3.95,0,0,1.98,0,0,28,1.15,0,2.88,8.98,0,0.99,0,0.45,0,0,0,5.17,1.44,6.65
120,0,0,6.81,1.73,0,0,14.47,0,0,0,0,0,49.75,0,18.76,14.5,34.84,1.81,0,9.62,0,0,0,0,2.96,0,0
