stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,13.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0
  5-6,43.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.61,4.03,0,0,9.69,0,0,0,0,3.42,0,0,0,0,0,0,0,0,266.31,15.39,0,165.05,5.76,0,0,0,0,0,0,0
 10-12,0,76.05,0,10.76,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,350.77,0,0,292.98,4.52,0,0,19.55,0,0,0,0
 14-21,0,0.81,23.44,1.2,2.95,1.36,0,0,2.6,0,3.03,0,0,0,0,130.46,0,52.59,40.83,0,0,47.14,0,0,51.09,0,2.31,57.59,4.72,0
 24-34,0,3.65,3.54,0,2.66,0,0,0,0,0,20.03,0,3.51,0,11.48,141,0,31.04,75.38,0,1.65,0,0.72,0,0,0,0.89,21.81,6.18,0
 36-46,0,0,4.29,0,0.82,0,0,1.93,0,0,56.85,11.77,0,1.7,0,120.74,1.78,11.39,110.69,0,0,0,0,0,0,0,0,0,0.93,0
 48-58,0,0,0,4.39,2.41,0,1.33,11.1,0,0,4.12,0,0,0,0,43.03,1.37,1.65,75.44,0,0,0,0,0,0,0,0,0,21.37,0
 60-70,0,0,0,0,6.26,0,0,9.97,0,0,0,0,0,0,0,20.8,0,0,23.94,0,0,0,0,0,0,0,0,0,20,1.92
 72-82,0,0,0,0,0,0,0.78,11.41,0,0,0,0,0,0,0,6.72,0,0,14.83,0,0,0,0,0,0,0,0,0,7.76,0
 84-94,0,0,0,0,0,0,0,3.42,0,0,1.55,0,0,0,0,1.77,0,0.57,8.42,0,0,0,0,0,0,0,0,0,3.9,0
 96-106,0,0,0,0,8.29,0,2.36,2.21,0,0,0,0,0,0,0,1.99,0,0,23.1,0,0,0,0,0,0,0,0,0,3.09,0.64
108-118,0,0,0,0,0,0,1.02,3.37,0,0,0,0,0,0,0,0.69,0,0,5.74,0,0,0,0,0,0,0,0,0,1.79,0
120,0,0,0,0,0,0,0,35.35,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,1.53,0,0,0,0,0,0
