stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,19.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,11.11,8.86,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,1.88,36.86,0.88,0,0,0,0,0,1.07,8.72,0,0,0,0,0
 24-34,0,2.32,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,4.88,218.24,0,13.9,0,0,0,0,0,62.03,0,0,1.09,0,0
 36-46,0,0,1.92,0,0,33.05,0,0,0,6.16,0,0,0,0,0,0,0,0,4.36,0,2.95,604.33,0,16.36,0,0,0,0,0,112.32,0,0,0,0,0
 48-58,0,0,6.24,3.36,0,113.56,0,5.93,0.9,27.19,0,0,0,0,0,3.23,0,0,7.3,0,3.07,1287.34,0,19.22,0,0,0.98,0,0,189.6,0,0,0,0,6.25
 60-70,0,0.89,1.15,0,0,425.77,0,7.51,0,67.52,0,0,0,1.42,0,0,0,0,11.23,0,2.16,2284.46,0,3.78,0,0.66,0,0,0,258.58,0,0.65,0,0,6.6
 72-82,0,0,24.14,1.04,0,759.77,0,0,2.09,79.36,1.49,0,0,0,7.99,2.8,0.76,0,25.02,2.4,1.26,2366.32,0,8.28,0,0,3.6,0,0,188.06,1.34,0,1.53,0,12.54
 84-94,0,0,4.41,0,0,743.38,0,5.32,0,77.03,2.77,0,0.78,0,1.56,0.67,0,0,10.87,0,1.59,1911.18,0,11.96,7.38,0,1.5,0,0,130.91,2,3.05,3.7,3.33,0
 96-106,0,0.63,9.19,6.38,0,565.98,0,0.69,0.64,73.12,3.51,0,0,0.8,1.23,0,0,3.13,21.54,1.32,1.46,1545.77,0,14,2.36,2.4,5.58,0,0,47.69,0,0.62,5.8,0,0
108-118,0,1.15,8.84,0.59,0,641.49,0,0,2.81,70.35,1.01,0,0,1.14,0,0,0.51,0.8,8.72,0,4.23,1594.5,0,5.64,4.72,0,3.18,0.43,0,46.23,2.25,0,1.03,0,1.42
120,0,3.64,10.8,3.04,13,706.98,2.29,0,8.73,129.84,0,0,0,0,0,0,0,18.38,8.76,11.82,2.35,3033.73,0,63.4,0,0,0,0,0,128.71,0,2.68,6.81,0,0
