stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,166.06,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.4,370.32,0,0,0,0,14.58,0,0,0,0,0,0,0,0
  7-9,19.92,15.55,51.73,0,103.99,33.5,811.4,38.92,228.78,4.34,0,0,0,0,0
 10-12,0,65.14,76.82,6.22,54.27,13.96,1139.88,3.91,482.17,0,5.55,4.56,18.54,12.89,12.34
