stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,0,28.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.49,0,0,0,0,0
  5-6,6.98,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.02,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,6.13,5.09,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
 24-34,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.56,16.63,0,0,0,0,0,0,0,0,2.68,0,1.13,0,0,0,0,0,2.38,2.9,0
 48-58,0,0,1.99,0,2.71,12.83,0,0,0,0,0,0.39,0,3.69,11.81,0,0,0,0,3.41,0,0,3.22,2.55,0
 60-70,0,0,0,0,0.59,14.18,0,0.83,0,0,0,0,8.67,0.57,4.19,0,0,0,0,3.11,0,0,7.36,7.87,0
 72-82,0,0,0,0,4.37,1.99,0.78,1.91,0,0,0,2.29,0,0.5,12.85,0,0,0,0,1.28,0,0,2.08,0,2.64
 84-94,0,0,0.78,3.23,2.58,2.95,0,0,0.57,0,0.8,0,0,1.48,6.38,0.76,0,0,0,1.88,0,0,2.46,0,2.5
 96-106,0,0,0,0,19.39,7.32,0,0,2.94,2.55,0,1.15,0,1.04,18.28,0,0,0.62,0,2.4,0,0,8.66,0,0
108-118,0,0,0,1.05,7.6,16.39,0.53,0.6,0,0,0,0,0,2.24,13.5,0,0,0,0,0,0,0.61,3.36,0,0
120,0,0,0,0,0,11.24,0,26.96,0,0,0,0,0,4.96,0,0,0,0,0,0,1.12,0,2.43,0,0
