stage,epidermis,eye,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,6.54,0,0
 10-12,0,10.94,0,0,0,0,50.54,0,0,0,0,0
 24-34,0,2.45,0,0,0,0,1.96,0.78,0.69,0,0.66,0
 36-46,0,10.93,0,0,0,0.77,3.31,1.3,0,0,0,1.9
 48-58,0,8.34,0,0,0,0,1.92,0.57,0,0,0,0
 60-70,0,6.89,0,0,1.23,0,2.79,0,0,0,0,0
 72-82,0.69,1.74,0,0.81,0,0.92,0.97,1.55,0.71,0,0,0
 84-94,0,0.79,0,0,0,0,3.61,0,0.88,0,0,0
 96-106,0,0,0,0,0,0,10.4,0,0,0,0,0
120,0,0,4.1,0,0,0,0,0,10.64,0,0,0
