stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,122.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,115.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,7.63,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,21.19,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,17.75,0,0,0,0,0,0,0
 14-21,0,0,1.3,5.78,6.56,2.87,0,0,1.06,0,1,0,0,0,0,0,0,0,2.19,0,0,8.61,58.11,4.05,0,0.8,0,7.56,12.39,7169.54,1.65,6.6,12,0,1.05,0,0
 24-34,0,0,0,16.89,12.44,20.22,0.72,0.72,1.43,0.69,0,0,0,1.76,0,0.61,0,2.29,21.84,0,0,20.13,371.25,2.66,0,0.9,0,9.12,0,10402.83,0,0.82,78.3,0,18.94,0,2.13
 36-46,0,0,0,1.02,0,8.64,0,0,2.01,0,0,1.71,0,0.68,0,0,9.79,0,10.03,0.95,0,3.25,129.95,4.01,0,0,0,3.46,0,5905.11,0,0,23.54,0,0,0,0
 48-58,0,0,0,11.12,1.61,26.98,0,0.46,4.36,0,0,0,0.39,0,0,0,4.18,0,12.46,0,0.49,3.87,136.93,1.36,1.03,0,0,3.55,0,3231.84,0,0,20.27,0,1.19,0,5.62
 60-70,0,0,0,4.18,0.68,37.83,0.89,0,2.5,1.58,0,0,0,0,0,0,0,7.35,0,0,0,0.89,64.02,1.36,0,2.13,0,0,0,2585.09,0,0,9.09,1.44,7.14,0.73,0
 72-82,0,1.82,0,0,0,27.04,0,3.24,2.39,1.02,0,0,0,0,3.39,0,0.96,0,5.79,0,0,0.51,99.12,0.88,0,0,0,8.41,0,1875.27,0,0,5.72,0,2.25,0,3.74
 84-94,0,0,0,1.01,0,17.72,0,0,3.9,5.17,0,0,0,0,0,0,34.26,0,16.64,0,0,0,47.92,0.62,1.11,0.66,0,4.59,0,3578.29,0,0,4.03,0,1.14,0.64,2.12
 96-106,0,0,0,0.87,3.17,30.13,1.36,0,0,0.6,0,0,0.83,0,0,0,0,0,13.24,0,0,3.58,22.64,0,0,0,0,0,0,1596.53,0,0,0,3.59,0,0,3.33
108-118,0,0,0,0,2.45,16.61,3.42,0,1.54,0.67,0,0.8,0,0,1.5,0,1.09,0,14.2,0,0.62,1.97,45.01,0,1.27,0.92,0,0.78,0,663.05,0,0,3.63,0,4.24,0,0
120,0,0,0,0,0,6.53,0,0,12.15,0,0,0,0,0,0,0,1.01,0,8.54,0,0,0,38.33,0,3.09,0,0,0,0,259.74,0,0,0,0,0,0,0
