stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,17.01,446.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,38.05,811.16,0,0,0,0,0,0,0,0,0,0,0,0,42.09,0,9.32,0,10.51,0,0,0,0,0,0
  7-9,17.69,28.4,30.39,0,0,73.26,0,0,0,25.85,0,0,0,0,639.64,32.03,185.52,0,0,8.58,0,0,0,0,0
 10-12,0,13.7,46.04,0,0,26.66,0,0,0,4.51,0,0,0,0,587.62,12.5,101.5,0,0,0,4.64,0,0,0,0
 14-21,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.54,1.21,0,0,0,0,0,0,0,0.81,0.59,6.63,1.28,0,0,3.26,0,0,6.07,0,0.66,0
 36-46,0,0,0,0,0,1.08,0,0,0,0,0,0.57,0.93,0,4.91,0,0,0,1.75,0,0,2.27,0,0,0
 48-58,0,0,0,12.14,0,1.35,0.5,0,0,0,0,0,0.38,0,2.29,0,0,0,0,0,0,0.42,0,0,0
 60-70,0,0,0,0,0.59,0,0.97,0,0,0,0,0,0.72,0,1.83,0,0,0,0,0,0,1.04,0,0,0
 72-82,0,0,0,2.69,1.35,2.11,0,0,0,0,0,0,1.45,0,1.86,0,0,0,0.52,0,0,0,0,0,0
 84-94,0,0,0,2.16,1.05,1.3,0,0,0,0,2.13,0,0.98,0,3.86,0,0,0,1.03,0,0,0,0.88,0,2.14
 96-106,0,0,0,0,0,0,1.51,0,0,0,0,0,2.35,0,1.23,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.71,0,0,0,0.69,0,0,0,4.42,0,4.35,0,0,1.08,0,0,0,0,0,0,0
120,0,0,0,3.59,0,0,0,3.44,0,0,0,0,10.76,0,16.14,0,0,0,5.4,0,1.12,0,0,0,0
