stage,eye,glial,mesenchyme,neural,olfactory,otic,spinal.cord
 14-21,0,0,0,1.77,0,0,0
 24-34,0,0,0,1.59,0,0,0
 36-46,0,0,0,0.98,0,0.76,1.59
 48-58,0,0,0,2.65,0,0,0
 60-70,0.71,0,0,1.2,0,0,0
 72-82,0,0.8,1.06,0.73,0,0,0
 84-94,0,1.18,0,2.45,0,0,0
 96-106,0,0,0,1.15,1.03,0,0
108-118,0,0,1.36,2.86,0,0,0
120,0,0,0,8.72,0,0,0
