stage,blastomeres,epidermis,eye,fin.epithelia,glial,heart,lateral.line,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.55,0,0,0,0,0,0,0,0,0,11.1,0,0,0
  5-6,19.79,0,0,0,0,0,0,0,12.39,0,0,0,0,0
  7-9,0,0,12.96,0,0,0,0,0,31.79,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,19.67,37.31,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.08,1.03,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0
 36-46,0,0,0,0,0.63,0,0,0,1.8,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0
 60-70,0,0.78,0,2.35,0.87,0.87,0,0,0,0,0,0,0.84,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.95,0.63,0,0
 84-94,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
108-118,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.84,3.96,0,0,0,0,0,0
