stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,111.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,21.05,0,0,0,14.77,0,0,0,0,0,0,0,0
 10-12,8.25,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,59.87,4.73,0,0,6.12,0,0,8.24,0,0,0,0,0
 14-21,0,0,1.67,3.34,3.24,0,0,0,0,0,0,0.81,0,0,0,92.73,0,0,0,3.27,0.95,3.77,0,0,0,0,3.3,0.97,0.91,1.65,0.89,0,0,0
 24-34,0,0.66,0,2.87,1.05,0,0,0,0,0,0,0.68,0,0,0,198.46,0,0,0,24.89,0,5.83,0,0,0,0,1.88,0,30.7,0,0,0.64,0,0
 36-46,0,0,0,0.6,0,0,5.04,0,1.24,0,0,2.31,0,0,0,14.69,0,0,0,0,0,3.63,0,0,0,0,0,0,17.5,0,0,0,0,0.67
 48-58,0,0,0,0,0,0,0,0,1.74,4.15,0,0.67,0,0,0,23.49,0,2.91,1.31,0,0,4.26,0,0,0,0,0,0,5.95,0,0,3.78,0,0
 60-70,0,0.57,0,5.46,0,0,8.26,0,0,0,0,0.75,0,0,0,34.8,0,4.22,0.88,0,0,13.14,0,0,0,0,0,0,9.79,0,0,0.73,0,0
 72-82,0,1.3,0,6.08,0,0,0,0.59,0,0,0,12.95,0,0.68,0,64.6,0,0,3.35,0.76,0,1.96,0,0.74,0,0,0,0,7.19,0,0,1.13,0,0
 84-94,0,0,0.7,5.13,0,0,14.71,0,2.78,0,0,10.71,0,0,0,160.86,0,0,1.04,0,0,0,0,0.66,0,0,0,0,57.1,0,0,2.94,0,0
 96-106,0,1.15,0.8,11.39,0,5.91,0.57,0,0,0,1.25,21.14,0,0,0,122.03,1.8,0,3.2,1.23,0,10.68,0,0,0.65,0,1.14,0,20.8,0,0,0,1.93,0
108-118,0,0,0.97,3.88,1.63,0,1.19,1.39,0,0,0,23.29,0,0,1.68,74.31,0,0,1.77,1.84,4.11,2.68,0,1.17,0,0,0.51,0,40.54,0,0,1.81,1.44,0
120,0,0,0,7.92,0,0,0,0,0,0,0,20.28,0,0,0,42.08,1.74,3.16,0,0,0,15.13,4.62,1.15,0,0,0,0,12.09,0,0,0,0,1.54
