stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
 24-34,1.97,0,1.45,0,0,0,0,0,0,0,11.18,0,5.21,1.41,0,0.71,0,0,0,1.73,0.76,0,0
 36-46,0,3.24,5.35,0.6,0,0,0,0,0,0,9.34,0.87,8.62,4.3,0,0,0.71,0,1.91,0,0,0,0
 48-58,0,85.55,2.14,2.15,0,0,0,0,0,0,7.12,0,0.7,8.94,0,0,0,0,0,0,0,0,0.61
 60-70,0.79,664.17,6.31,1.62,0.82,0,0.79,0,6.63,0,16.58,0,2.34,8.64,0,0,0,3.48,0,0,0,0,0
 72-82,3.05,654.12,9.3,1.09,2.94,0,0,0,0,0,9.89,4,4.36,26.09,0.53,0,0,0,0,0,0,0,0
 84-94,4.3,430.83,5.67,0.61,2.82,0,0,0,0,0,17.48,0,0,10.58,0,0,0.69,0,0,0,0,0,0
 96-106,3.41,358.14,11.55,0,6.91,0,0,4.12,0,0.81,4.48,1.44,0,1.38,0,0,0.59,0,0,0,0,0.68,0
108-118,7.81,190.36,14.6,1.42,0.62,0.42,0,0,0,0,16.55,0,1.13,16.33,0,0,3.82,1.48,0,0,0,0,0.52
120,42.51,265.16,5.66,1.92,3.99,0,0,17.38,0,0,4.11,0,5.7,45.15,0,0,0,0,0,0,0,0,0
