stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0
 14-21,0,0.84,2.02,0,0,0,0,0,0,0.97,0,0,0,0,2.2,0,0,12.02,2.52,0,1.02,0.86,0,1.29,3.98,0,0
 24-34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.99,15.8,0,1.27,3.57,0,0,0,4.14,0,0
 36-46,0,0,0,0,5.39,0,0.68,0,0,0,0,0,0,0,2.36,0,0,9.78,0,0.92,0,0,0,0,13.95,0,0
 48-58,0,0,0,0,8.89,0.85,0,0,1.33,0,0,0,0.39,0,4.04,0,1.15,15.73,0,0,0,0,2.74,0,2.57,0,0
 60-70,0,0,2.81,0,7.52,0,0,0,0,0,0,0,0,0,7.24,1.92,0,16.47,4.58,0,0.65,0,0,0,0,0,0
 72-82,0,0,0,0,21.1,0,2.07,0,1.21,0,0,0,0,0,0.59,4.32,0,18.81,0,0,0.49,0,0,0,0,0,0.89
 84-94,0,0,0,0,12.34,0,8.4,2.3,0,0,0,1.23,0,0,4.49,0,0.56,15.21,0,0,0.84,0,0,0,2.9,0,0.92
 96-106,0,0,1.02,0,3.77,0,1.21,0,1.32,0,0,0,0,0,4.05,0,0.92,8.63,0,0,1.01,0,0,0,0,1.2,2.85
108-118,0,0,0,0.85,5.58,0,0,0,1.88,0,2.59,0,0,0,2.59,0,0,14.44,0,0.46,0.79,0,0,0,0,0,0
120,0,0,6.26,0,0,0,0,0,5.15,0,0,0,0,4.79,0,0,0,0,0,10.22,4.27,0,0,0,0,0,0
