stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.51,0,0,0
  5-6,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.38,0,0,0
  7-9,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,43.21,0,0,6.61,0,33.97,0,0,0
 10-12,4.52,0,0,0,0,0,0,0,7.9,0,0,0,0,0,15.51,0,0,0,0,19.91,3.11,0,0
 14-21,0,0,0,8.62,0,0,0,0,0,0,81.4,0,0,0,0,0,0,0,0,20.41,0,0,5.36
 24-34,0,0,0.63,1.43,0,0,0,0,0,1.06,220.08,0,0,0,8.1,0,0,0,0,1.35,0,0.65,6.81
 36-46,0,0,0,0,0,0,0,0,0,0,307.64,0,0,0,0.9,0,0,0,0,0,0,0,6.93
 48-58,0,0,1.71,0.84,0.68,0,0,0,0,0,181.99,0,0,0.68,6.17,0,0,0,0,0,0,0,14.98
 60-70,0,0,0,0,0.63,0,0,0,0,0,281.91,0,0,0.7,12.36,0,0,0,0,0,0,0,18.58
 72-82,0,0,0,10.25,15.51,0,0.68,0,0,0,382.6,0,0,5.94,5.83,1.07,0,0,0,0,0,0,26.78
 84-94,0,0,0.79,3.29,17.88,0,0,0,0,0,443.31,0,0,2.25,4.79,0,0,0,0,0,0,0,28.71
 96-106,0,0,0,3.47,16.89,0,0,0.81,0,0,494.54,0,0.63,4.68,11.14,0,1.21,0,0,2.56,0,0,35.56
108-118,0,3.86,10.72,5.64,2.59,0.45,5.71,0.45,0,0,468.6,0,0,1.17,11.83,0,0,0,2.15,0.58,0,0,24.76
120,0,0,10.94,9.38,6.33,0,0,0,0,0,614.92,3.44,0,0,30.78,0,0,0,0,0,0,0,27.52
