stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.8,815.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033.21,0,0,0,0,0,0,0,0,0
  5-6,8.23,444.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0,0,6.91,4114.43,0,0,0,0,0,0,0,0,0
  7-9,20.7,15.12,0,0,0,0,0,9.11,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,71.86,0,0,0,17.08,326.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.14,0,0,0,0,0,0,0,0,224.55,0,0,0,0,0,0,0,0,0,0,176.31,0,0,0,29.48,51.49,0,8.85,0,0,0,0,0,0,0
 14-21,0,0,1.3,25.81,244.21,3.46,0,4,0.82,0,2.25,37.9,817.81,0,0,90.23,4.4,0,0,1.26,13.27,0,2.34,75.15,30.96,20.41,33.23,5.05,1264.84,5.04,23.03,0,2.91,22.59,0,0,0,0
 24-34,0,0,1.36,21.98,151.83,4.36,0,8.46,3.24,0,2.25,23.18,280.9,0,0.69,207.52,66.94,2.78,1.23,20.84,52.82,0,10.76,289.28,0,112.03,23.35,0,1647.43,0,32.24,0.66,2.41,22.7,0,21.23,0,0
 36-46,0,0,0,1.54,68.42,0,0,3.4,4.83,0,2.97,8.69,74.2,0,0.56,81.16,37.91,0,0,2.74,33.56,0,4.06,420.65,14.11,127.28,44.53,0,2067.69,0,12.02,0,0,19.78,0,9.57,0,2.25
 48-58,0,0,0,0,25.88,0,0,38.33,10.92,2.34,2.33,1.62,285.69,0.69,0,56.04,46.08,3.98,5.99,9.55,23.7,0,1.39,252.75,0,108.03,27.11,0,1620.14,0,4.13,0,0,12,0,7.37,0,15.5
 60-70,0,0,0,0.68,46.77,0,0,25.82,10.28,0,3.78,11.56,87.4,0,0,31.77,55.09,5.17,0,9.42,15.49,0,0,122.54,0,148.15,27.34,0,1355.86,0,6.63,0,0,18.91,7.4,0.9,0,0.79
 72-82,0,0,9.13,0,48.13,0,1.65,40.47,8.47,2.61,1.78,26.85,28.32,0,2.7,39.13,109.46,3.3,0,16.81,24,0,0,158.36,0,248.16,38.92,0,674.3,0,3.48,0,0,0,50.93,9.37,0,2.11
 84-94,0,0,8.13,3.04,73.48,0,0,10.39,21.99,0,7.46,40.73,69.24,0,1.03,72.31,133.46,0,0,15.54,19.29,0,0,123.79,0,229.11,33.24,0,1689.93,0,7.82,0,0,0,100.87,0.72,3.35,0
 96-106,0,0,16.01,0.74,112.83,24.22,0,38.52,11.62,2.43,7.95,78.8,2.64,0,1.45,55.77,201.64,19.94,0,12.85,19.42,0,0,160.07,0,422.88,57.87,0,789.18,0,4.43,0,0,8.29,143.09,2.92,0,10.56
108-118,0,0,7.4,0.59,64.92,0,0.5,18.03,15.2,0,6.74,48.36,0,0,3.24,36.45,124.71,1.1,0,15.77,16.15,1.29,0,84.87,0.54,271.29,56.12,0,538.63,0,4.47,0,0,0,97.72,2.1,0,3.2
120,1.12,0,14.61,1.28,59.78,2.93,0,0,4.18,0,9.16,40.51,0,0,0,18.78,69.27,0,0,2.5,9.15,0,0,64.02,0,178.68,34.79,0,295.44,0,5.61,0,0,13.69,34.62,0,0,0
