stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.88,0,0,0,17.37,0,0,0,0,11.59,0,0,0,0,0,0,0,0,40.6,0,0,33.72,0,0,0,0,0,0,0,0,0
 10-12,0,17.57,0,0,12.03,0,0,0,0,8.61,0,0,0,0,0,0,0,0,34.8,17.72,0,35.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.39,0.83,3.45,0,0,0,0.81,0,0,0,0,0,0,0.92,0,2.12,41.35,5.6,0,0,0,0,1.79,0.85,0,2.37,21.18,0,0
 24-34,0,0,0,0,3.04,0.73,0.83,4.68,0,0,0,0,1.75,0,0.95,10.68,0,2.81,93.34,6.22,0,0,0,0,0,0,0,1.35,42.47,5.75,0
 36-46,0,0,0.83,0,11.02,0,0.62,1.16,0,0,0,0,0,0,0,3.04,0,0.85,45.28,2.35,0.91,0,0,1.91,0,0,0.58,0,28.46,3.03,0
 48-58,0,0,4.88,0,21.97,0,0,8.04,0,0,0,0,0,0,0,11.55,0,0.51,60.23,11.3,1.35,0,0,3.5,0,0,0,0,18.13,0,0
 60-70,0,0,0,5.79,26.63,2.24,1.83,1.47,0,0,0.95,0.78,10.22,0,0,11.37,5.31,0,54.37,0,0,0,0,0,0,0,0,0,28.6,0,0
 72-82,0,0,0,0,23.63,0,0,8.93,0,0,0,0,0,4.15,0,6.46,0,0,28.74,0,1.32,0,0,1.16,0,0,0,0,8.11,1,0
 84-94,0,0,0.8,0,19.74,1.21,0,16.46,0,0,0,0,1.54,0,0,18.31,0,3.75,13.51,0,0,3.85,2.56,3.92,0,1.93,0,0,8.39,7.65,0
 96-106,0,0,0,0,7.47,0,2.28,9.01,0,0,0,0,0.83,0,0,1.08,0,1.02,11.84,0,0,0,0,1.88,0,0,0,0,0,0,0
108-118,0,0,0,0.57,17.63,0.5,0,6.78,0,0,0,0.5,0,0,0,8.73,0,0.97,19.31,0,3.07,0,0,0.7,0,0,0,0,0,0.43,0
120,0,0,2.55,0,10.37,0,0,17.42,0,0,0,1.75,0,0,6.54,18.09,0,8.32,26.9,0,0,0,0,1.44,0,0,0,0,0,0,17.64
