stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.92,850.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.48,0,0,0,0,0,0,0,0,0,0
  5-6,64.21,711.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,26.72,0,5.94,0,0,0,44.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.16,4.16,0,0,50.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.56,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.38,0,0,0,21.94,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.62,3.97,0.83,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3.59,0,0,0.98,42.03,2.58,0,0,0,1.6,0,16.14,0,0,1.3,0,0,0,0,0
 24-34,0,0,2.06,9.67,4.6,1.41,0,1.41,0,0,0,1.1,8.03,0,0,0.64,0,0,33.7,0,3.22,0,0,1.44,94.56,0,0,0.63,0,5.16,0,161.68,0,0.68,19,0,0,0,0,2.64
 36-46,0,0,0,0.67,0.8,0,0,4.02,0,0,0.61,9.49,4.34,0,0,0,0,0.61,47.47,0,3.85,0,0,1.37,133.09,0,2.63,0,0,20.75,9.19,140.99,0,0,3.41,0,0,0,0,0
 48-58,0,0,0,0.51,0.88,9.65,0,5.03,0,1.04,0,0,14.49,0,0,0,0,0,55.71,1.95,5.45,0,0,0.8,73.6,0,0,0,0,0,0,124.07,0,0,6.42,0,0,0,0,0
 60-70,0,0,0,0,5.34,0,0,18.46,0,0,0,11.75,27.34,0,0,0,0.57,0,87.24,0,8.65,0,7.24,0,78.88,0,1.42,0,0,0,0,110.92,0,0,20.88,0,0,0,0,0
 72-82,0,0,5.67,0,2.8,4.43,14.71,13.27,0,0.8,2.9,3.3,78.06,0,0,0,0,0,222.21,0,9.87,0,1.32,1.23,77.76,0,0.59,0,0,4.11,0,143,0,0,4.42,3.84,0,2.28,1.16,0
 84-94,0,0,3.06,0,5.34,3.65,22.75,19.34,0,0,0.75,5.01,99.83,0.78,0,1.54,1.32,0,497.47,0,10.66,0,1.07,0,80.57,0,3.48,0,0,3.32,0,262.97,0,0,7.26,0,1.47,4.39,3.56,5.36
 96-106,0,0,11.54,0,7.3,26.68,10.21,79.41,1.19,2.63,4,13.86,160.04,1.03,5.74,0,0,0.58,1001.78,0,26.25,2.09,0,0,178.17,0.75,13.7,0,0,20.51,0,233.63,1.61,0,12.13,1.02,0,14.06,0,0
108-118,0,0,5.87,0.64,16.86,9.38,26.49,84.65,0.84,1.32,0.48,19.48,220.57,0,0.69,0,1,0,1967.81,1.61,20.55,0,1.4,0.55,243.6,0,3.17,1.15,0,10.54,0,278.49,1.47,0,4.21,1.01,0.82,1.02,1.79,0
120,0,0,0,0,14.83,14.75,14.09,20.46,0,0,21.36,5.73,212.22,0,1.19,0,0,7.68,1250.06,0,11.43,0,0,0,157.4,0,0,9.06,0,5.22,0,183.38,0,0,0,0,2.71,0,0,0
