stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.44,203.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.2,65.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.51,0,0,27.05,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,83.09,14.12,0,0,36.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,8.04,0,0,20.29,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,114.42,0,0,0,62.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,17.94,4.92,0,0,0,0,2.26,0,0.92,0,0,0,0,0,0,6.87,0,0,6.66,51.07,0,0,1.61,0.87,0,0,5.49,0.85,1.08,8.58,14.29,0,0.98,0,0
 24-34,0,0,0,10.22,0,9.67,0.62,0.83,0.61,0,0,0.6,0,0.79,0,0.68,0,0,6.89,0,0,4.35,99.98,0,0,0.69,0,0,3.92,0,0,0,1.23,11.65,0,4.42,0,0
 36-46,0,0,0,1.48,0,16.39,1.14,1.4,4.9,0,0,0,0,0,0,0,3.46,10.32,16.71,0,0,7.82,130.47,5.38,0,0,0,0,1.95,0,0,0,0,35.41,0,2.82,0,12.79
 48-58,0,0,0,3.95,0,34.47,0,0.5,5.99,0,0,0,0,0,0,0.4,0,0,17.81,0,1.64,2.48,117.93,0,1.41,3.33,0,0,0.55,0,0,0,0,29.62,0,2.12,0,3.75
 60-70,0,0,0,3.88,0,106.09,2.67,0.67,11.74,0,0,0.6,0,0,0,0,0,0,16.17,0,1.2,5.38,135.01,2.09,0.6,0.63,0,0,5.77,0,0.62,0,0,18.93,0,2.97,1.13,0
 72-82,0,0,0,1.25,8.83,30.74,0,0,4.06,0,0,0,0.54,3.48,0,0,0,0,19.62,0,4.32,4.29,81.97,0,0,0.69,0,0,0.49,0,0,0,0,5.54,0,6.25,1.63,0
 84-94,0,0,0,3.95,15.89,40.03,1.36,0.59,21.24,0,0,0,0.8,0.59,0,3.82,0,0,42.26,2.4,0,0.75,79.19,0.65,0,2.81,0,0,4.83,0,0,0,0,4.64,1.28,8.96,0,0
 96-106,0,0,0,2.23,0,46.19,0,0,7.58,1.95,0,0,1.14,0,0.66,0,0.72,2.73,7.78,3.86,0,1.85,82.48,0,2.73,5.87,0,4.36,2,0,0,0,0,0,0.88,4.41,0.95,6.14
108-118,0,0,0,9.76,2.48,40.55,0,0,4.71,0.62,0,0.93,3.84,0.42,0,0,0.43,3.51,24.74,0.71,0.46,4.53,33.96,0,0,10.9,0,0,0.53,0,0,0,0,4.03,0,1.92,0,0
120,0,0,0,5.35,0,27.73,0,0,31.81,8.16,0,0,2.14,0,0,0,0,0,42.65,0,0,1.46,82.4,0,0,17.33,0,0,3.65,0,0,0,0,0,0,0,0,0
