stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,296.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,643.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.4,37.75,0,23.94,0,0,0,81.23,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,744.52,43.21,0,0,357.3,0,4.89,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.99,0,20.91,0,0,0,37.3,0,0,0,0,31.49,0,0,0,0,0,0,0,0,0,0,0,601.84,22.79,0,0,252.16,0,0,9.03,8.37,22.22,0,0,5.88,0,0,0,0,0
 14-21,0,0,0.82,1.68,26.99,10.72,0,4.02,0,0,0,1.87,0.98,0.96,0,0,0,0,0,0,8.76,0,0,6.02,98.93,1.58,0,0.95,3.75,0,1.15,0,14.24,0,1.15,8.66,29.25,0,0,6.95,0,0
 24-34,0,0,0,0,1.35,2.5,0,21.27,0.82,0.69,14.76,0,0,2.01,0,0,0,0.62,3.16,0.62,27.92,0.84,0,8.29,356.47,0.59,6.27,1.73,0,0,11.41,0,0,0,0,3.17,86.82,0,0,16.32,0,7.08
 36-46,0,0,0,0,2.8,0,0,86.11,0,2.41,28.59,0,0,2.72,0,0,1.49,1.61,0,0,43.45,0,0.67,10.55,521.46,0.85,7.48,0.67,0,0,8.04,0,0,0.74,0,0,145.39,0,0,5.48,0,3.59
 48-58,0,0,0,0,6.34,0.77,0,136.03,0.8,2.64,22.86,3.21,0,1.61,0.57,0,0,0.45,9.13,2.97,52.48,0.4,9.51,4.61,352.56,0,5.65,4.05,0,0.56,3.12,0,0,0,0,0,123.89,0,0,6.32,0,2.04
 60-70,0,0,0,0,5.25,0,0,275.26,0.93,5.95,34.36,0,0,0,9.63,7,0,0,3.22,0,90.96,0,2.58,6.65,358.03,0,1.39,0,0,4.81,12.68,0,0,0,0,0,46.85,0,2.67,5.82,0,0
 72-82,0,0,0,0,6.26,4.51,0,151.83,0,3.25,33.16,0,0,0.51,0.55,1.39,3.06,1.75,0,3.45,71.12,0,5.89,6.1,213.86,0.55,1.04,1.69,0,2.62,15.05,0,0,0,0,0,18,0,0.61,15.71,0.59,0
 84-94,0,0,0,0,11.13,3.87,2.35,129.15,0,0,25.53,1.21,0,4.81,2.22,0.59,0,0.81,0,0,40.29,0.91,8.03,9.17,150.45,0,0.86,2.48,0,2.48,42.5,0,0,0,0,0,14.04,0,1.27,2.92,1.2,0
 96-106,0,0,0.99,0,5.6,1.13,3.86,89.58,0.9,1.66,25.01,1.87,0,0.71,2.05,1,0.57,0.59,0.72,0,58.43,0,0.58,2.4,99.15,0.68,4.94,0,0,5.11,27.24,0,0,0,0,0,2.96,1.68,0,12.14,3.92,0
108-118,0,0,0.8,0,4.97,2.99,0,79.73,0,1.71,28.38,1.86,0,0,2.43,0.81,1.45,0.89,3.93,1.36,46.35,0,1.34,5.04,122.35,0,0,2.28,0,1.83,30.02,0.79,0,4.19,0,0,1.62,0.84,0.57,4.89,3.25,4.11
120,0,0,0,0,17.46,6.29,0,20.47,0,0,13.38,0,0,0,8.1,0,0,0,0,0,73.37,0,6.37,7.06,137.24,1.08,10.18,10.97,0,0,28.48,0,0,0,0,0,11.38,0,0,1.78,0,0
