stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,iridophores,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,48.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.76,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0
  7-9,7.06,0,0,8.3,0,0,0,0,0,0,30,4.22,13.14,0,0,0
 10-12,0,8.58,0,0,0,0,0,0,0,0,18.89,15.89,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.13,0,0,4.53,1.07,0
 24-34,0,0,0.76,0,0,0,0,0,0,0,0,0,0,7.16,1.61,0
 36-46,0,0,0,0,1.35,0,0,0,0,0,0.7,0,0,2.43,0,0
 48-58,0,0,0,0,0,0,0,0,0.37,0.5,0,0,0,0,0,0.43
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0
 72-82,0,0,0,0,0,1.75,0,0,1.2,0,3.68,0,0,1.11,0,0
 84-94,0,0,2.77,0,1.14,0,0,0,0,0,2.22,0,0,0,0,0
 96-106,0,0,0.58,0.72,0,0,0,0,1.8,0,1.49,0,0,0.72,0,0
108-118,0,0,3.64,0,0,0.62,0,1.33,0,0,0,0,0,0.44,0,0
120,0,0,1.64,0,0,0,0,0,4.21,0,6.59,0,0,1.35,0,0
