stage,epidermis,eye,fast.muscle,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0.84,0.81,0,0,0,0,0,0,0.96,0.87,23.59,0,0,0,0.85,0.82,5.71,0,0,0,0
 24-34,0,1.49,0,0,0,0,0,3.78,0,0,22.93,1.25,0.84,0,0,0,7.96,0,0,2.64,0.93
 36-46,0,11.61,0,2.49,1.3,0,0,0,1.82,0.84,55.17,0.59,0,0,0,0,10.33,0,0,0,0
 48-58,0,10.14,0,3.67,0,0,0,0.48,3.75,0,47.58,0,0.42,0.51,0,0,11.23,0,0,0,7.15
 60-70,0,53.66,0,9.42,0,0,0,0,2.35,0,74.45,0,0,0,0,0,9.38,0,0.83,0.75,0.77
 72-82,0,23.68,0,1.19,0,0,1.54,0,5.16,0,59.33,1.49,0,0,0,0,21.98,0,0,0,0
 84-94,0,15.81,0.75,2.51,0,0,0,0,2.49,0,33.56,0,0,0.65,0,0,2.7,0,0,0,0
 96-106,1.32,4.82,0,11.8,0.61,0.74,0,0,3.03,0,30.7,1.08,0,1.42,0,0,0,0,0,2.39,0
108-118,3.27,7.34,0,2.21,0.49,0,0,0,2.85,0.72,27.09,0,1.62,0,0,0,1.01,1.4,0,0.42,3.8
120,0,3.22,0,0,0,0,0,0,2.84,0,48.86,0,0,0,0,0,0,0,0,0,0
