stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,136.23,1235.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.74,729.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.52,0,0,0,12.41,52.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.43,7.36,0,15.94,0,0,7.74,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,0,101.05,24.3,0,0,79.4,5.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.96,15.79,0,0,40.67,22.09,0,0,9.68,0,5.74,0,0,0,0,0,0
 14-21,0,0,0,0.88,102.36,24.11,29.78,0,0,0,0,1,0,1.22,9.04,3.17,0,0,39.65,5.81,24.28,0,0,10.82,92.69,181.43,0,0,4.06,56.16,0,28.29,5.27,1.75,34.69,15.16,0,0,35.79,0,1.03
 24-34,0,0,0.6,0.64,23.53,4.22,19.27,0,1.66,0,2.53,0,0,0.69,13.03,9.22,0,1.89,7.24,9.1,36.92,0.86,0.89,12.75,52.03,10.58,0.77,0,0,44.43,0,0,5.38,2.86,5.19,7.31,0,0,104.46,0,22.41
 36-46,0,0,0,0,34.67,0,46.31,1.56,0,5.69,2.25,0,0,2.27,61.02,4.87,18.74,0.65,0,10.76,38.62,0,0.68,16.48,48.3,1.84,0,0.61,0,95.95,0,0,0.59,0,0,14.45,0,0,28.53,0,15.22
 48-58,0,0,0,0,19.03,0,19.9,0,2.28,5.37,0.45,0.38,1.12,0.76,18.1,1.06,9.19,0,2.15,24.54,24.58,1.17,2.2,6.09,39.15,0.59,0,0.59,0,93.51,0.65,0,6.71,0,0,7.48,0,0,17.09,0,23.5
 60-70,0,0,0,0,17.47,0,45.58,0,3.14,0,24.75,1.35,1.55,0.71,68.16,5.32,2.14,2.05,1.77,9.47,30.37,0,10.57,1.93,56.88,5.85,0,1.56,0,69.59,0,0,1.48,0,0,8.32,0.76,0.6,31.95,0.59,7.15
 72-82,0,0,0.53,0,30.6,0,6.57,0,4.13,0.69,5.54,4.37,0.52,0,25.12,2.52,2.55,0.62,3.87,2.53,53.57,0,0.51,5.7,37.57,0,1.7,0.56,0,59.04,0,0,1.73,0,0,1.71,0,3.17,25.02,2.2,26.75
 84-94,0,0,0,0,36.42,11.15,13.89,0,13.51,2.6,2.46,19.1,0,0.7,53.92,6.24,11.23,1.71,8.91,16.15,45.88,0,3.99,3.62,6.55,1.3,0,0,0,182.28,0,0,8.99,0,0,4.49,1.23,1.25,27.5,4.42,9.17
 96-106,0,0,0,0,49.09,9.89,23.58,2.44,8.33,1.92,15.52,25.33,0,2.01,92.96,13.65,15.78,0,3.54,11.07,33.13,1.73,3.33,2.46,55.35,2.65,3.85,0,0,286.03,0,0,4.63,0,0,2.91,1.95,0.93,31.92,0.93,12.35
108-118,0,0,0,0.74,40.69,9.41,28.56,0.54,9.76,3.5,5.95,26.31,0,0,90.37,14.95,15.46,3.23,5.23,25.06,36.01,13.39,2.57,2.58,38.72,6.74,1.82,2.81,0,252.18,0,0,4.61,0,0,0,5.71,1.79,23.71,0,19.06
120,0,0,0,0,15.66,0,6.61,0,6.11,5.23,6.01,15.46,0,0,133.66,8.87,1.58,0,0,10.74,25.28,3.7,0,11.46,60,1.38,1.88,0,0,88.67,2.3,0,4.09,0,0,0,1.27,0,47.02,0,0
