stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,10.6,0,0,0,6.22,3.81,0,0,0,0,0,0,0,0
 14-21,0,0,44.73,7.64,0,0,0,0,0,0,2.05,0,1.07,0,0,0,0,0,0,4.96,0,0,3.32,0.93,0,0,0,0,18.77,0,0,0.82,3.87,0,0,18.47,0,0
 24-34,0,0,22.6,4.69,0,3.93,0,0.62,0,0,0,0,10.41,0,2.76,0,0,0.65,0.69,19.05,4.16,0,0.91,37.37,6.53,0,1.16,0,8.34,1.7,0,1.37,5.36,0,0,134.96,0,0.62
 36-46,0,0,19.27,1.44,0,6.07,0,8.4,0.62,0.79,0,0,1.67,0,0.77,0,0,0,0,10.38,2.14,0,2.64,73.46,5.25,0.84,1.46,0,9.18,1.29,0,0,4.53,0,0.62,86.1,0,0.65
 48-58,0,0,11.92,4.05,0,5.02,0,3.73,5.23,2.03,0,2.77,1.37,0,8.58,0,1.59,0,3.93,13,1.05,0.73,2.58,85.16,11.75,0.47,5.58,0,11.12,0.46,0,0,18.17,0,0,43.78,0,8.91
 60-70,0,0,23.15,2.33,0,84.58,2.64,11.26,2.38,20.08,1.23,5.9,0.7,1.14,0,0,0,0,0,21.26,1.46,0,8.83,77.74,2.92,0,0.83,0,19.16,1.31,0,0,22.4,0,0,67.5,0,21.06
 72-82,0,0,11.14,22.03,0,129.04,0,5.97,1.5,41.94,0,0,2.03,3.44,1.94,1.17,0.95,8.23,1.33,46.83,4.99,4.54,2.87,150.01,2.52,2.47,10.01,0,6.13,1.03,4.35,0,45.8,0.87,2.95,89.3,0.77,5.91
 84-94,0,0,32.81,39.93,0,78.87,0,3.71,0.77,21.76,1.15,0.99,0,7.05,2.84,1.25,1.03,0,11.29,29.47,5.89,1.03,4.7,132.03,5.8,0.9,9.71,0,21.77,3.37,0.61,0,17.49,0,0.71,62.81,0,2.6
 96-106,0,0,13.18,52.82,0.59,139.92,0,7.9,2.44,76.77,2.19,0,5.3,7.66,5.33,0.95,0,7.38,1.28,32.47,13.33,3.66,2.41,97.87,4.73,3.78,3.86,1.05,30.73,3.38,0,0,19.57,0,0.78,89.19,0.68,0.73
108-118,0,0,60.44,20.34,4.54,150.63,0.67,26.52,8.32,65.64,7.51,0,1.52,6.4,7.44,14.69,0.47,4.75,7.95,78.8,10.64,5.84,5.27,224.76,8.3,2.38,8.61,5.73,44.43,5.55,0,0,33.2,0.68,0.41,84.59,0.57,8.88
120,0,0,65.44,22.47,0,223.31,3.08,44.88,6.8,84.98,3.63,0,12.29,27.38,18.48,9.66,0,6.16,3.12,127.77,8.17,19.72,5.84,488.44,19.09,2.89,11.78,7.72,29.73,7.7,0,0,20.09,0,0,127.72,12.1,3.14
