stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,520.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.6,506.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0
  7-9,3.44,7.36,10.27,0,0,56.09,0,0,8.54,0,0,0,0,0,0,0,0,0,406.57,25.69,0,0,144.72,0,10.31,0,0,0,0,0,0,0
 10-12,0,13.35,29.26,0,4.95,37.6,0,0,21.89,0,0,0,0,0,0,0,0,0,310.29,6.95,0,0,124.16,0,0,4.75,7.98,0,0,0,0,0
 14-21,0,0,0,4.19,0.87,0.86,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0.94,4.69,0,0,0
 24-34,0,0,0,0,0,3.2,0,1.06,0,0,0,0,0,0,7.79,0,0,2.55,68.63,0,0,0.61,0,0,0,0,0.65,0.62,6.18,0,2.04,0
 36-46,0,0,0,3.17,0,4.52,0.78,3.5,0,0,0,0,0,0,3.41,0,0.86,0.67,68.09,2.01,0,0,0,0,0,0,0,0,21.96,0,0,0
 48-58,0,0,0,0,0,16.78,0,4.68,0,0,0,0,0.41,0,6.78,0,0,0,63.83,0,0,0,0,4.13,0,0,0,0,18.88,0,0,0
 60-70,0,0,0,3.99,0,31.88,0,3.35,0,0,0,0,0,0,13.25,0,0,0,58.86,0,0,0,0,0,0,0,0,0,20.54,0,0,3.54
 72-82,0,0,0,0,0,15.37,1.98,0.77,0,0,0,0,0,0,4.75,0,0,0,23.06,0,0,0,0,6.72,0,0,0,0,5.48,0,0,0
 84-94,0,0,0,0,0,4.52,0,0.58,0,0,1.98,0,0,0,3.52,0.58,0,1.42,30.69,0,0,0,0,0.74,0,0,0,0,2.06,0,1.68,0
 96-106,0,0,0,0,0,5,0.62,4.26,0,2.41,0,0,0,0,3.56,0,0,1.92,5.41,0,0,0.69,0,5.39,0,0,0,0,0,0.79,0.92,0
108-118,0,0,0,3.13,0,5.76,0,18.07,0,0,1.48,0.72,0,0.47,8.31,0,3.67,1.38,20.04,0,1.21,0,0,1.86,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,1.79,0,11.39,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0
