stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,neural,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0
 24-34,0.63,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0.7,0,0,0,0,0
 36-46,0,0,0,11.38,0,0,0,0,0,0,0,0,0,0,14.36,0,0,1.65,0,0
 48-58,1.34,0.39,0,0,0,0,0,0.52,0,0.65,0,0,2.12,0,1.93,0.43,0,5.79,0,0.83
 60-70,0,0,3.9,0,0,0,0,0,0,0,0,3.68,0,0,4.28,0.65,0,1.33,0,0
 72-82,2.29,45.87,1.66,2.88,6.33,2.26,0,0.57,0,0,0,2.16,0.61,3.75,7.03,0,0,12.88,0,3.22
 84-94,0,21.4,5.4,0,0,0,0,2.41,0,0,5.96,10.17,0,0,3.22,0,0,17.44,0.62,0
 96-106,4.43,77.11,8.31,1,0,2.79,0.88,1.5,0,0,0,1.31,7.72,0,9.35,0,0,24.92,0,0
108-118,2.27,41.31,5.06,0.65,0,0,0,1.27,4.05,0,0,1.38,0,0,8.06,3.3,0,4.37,0,0
120,3.69,29.56,2.59,5.35,0,0,0,0,8.18,0,0,7.12,0,0,0,1.73,0,5.71,0,0
