stage,axial,blastomeres,epidermis,eye,glial,heart,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,20.8,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.15,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,21.62,0,0,3.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0.85,3.67,0,0,0,0,0,2.3,1.23,1.19,0,0,0
 24-34,0,0,0,0.68,1.55,0,0,2.62,0,13.05,1.03,0,0,0,0,0,0,0,2.67,1.4,0
 36-46,0,0,0,0,1.56,0,0,0.82,0,3.62,0,0,0,0,0.81,0,0,0,2.17,0,0
 48-58,0,0,0,4.24,7.41,0,0,2.2,0.4,29.46,0,3.13,0,0,0,0,0,0,1.51,1.37,0
 60-70,0,0,0,1.45,0,0,0,0,0,13.22,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.52,3.83,1.42,0,0,1.97,0,27.76,0,0,0,0,0,0,0,0,2.43,0,0
 84-94,0,0,3.15,0,6.25,0,0,0,0,26.98,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.12,3.1,0,0,0,1.1,0,7.09,0.59,0,0,0,0,0,0,0,0,0,0
108-118,0,0,10.96,6.56,0,0,0.65,0,1.09,30.43,0,0,0,0,0,0,0,0,0,0,0
120,0,0,17.06,0,0,7.76,0,0,0,6.36,0,0,0,3.64,0,0,0,0,0,0,4.47
