stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0
 14-21,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,5.01,0,4.82,0,0,0,0,0
 24-34,0,0,0.62,0,0,0.68,0,0,0,0,0,0,0,0,0,0,41.42,2.76,0.9,0,0,0,13.97,0,0,0,0,0
 36-46,0,0,7.23,0,0,1.63,0,0,0,0.65,0,0,1.5,0,0,0.78,95.2,0.73,0,0,0,0,32.35,0,0,0,0,0
 48-58,0,0,3.3,0,0,1.09,4.88,0,0,0,0,0.51,2.14,0,0,1.16,119.08,0,0,0,0,0.56,13.29,0,0,0,0,0
 60-70,0,0,7.17,0,0,0,15.87,0,0,0,0,0,2.31,0,0,2.75,199.28,0,0,0,4.49,0,3.72,0,0.63,0,0,0
 72-82,0,0.49,14.61,0,0,0,22.98,1.1,0,0,0,0,8.64,2.94,0,0,276.37,5.31,0,0,0,0,6.79,0,0.89,0,2.27,0
 84-94,2.42,0,9.87,0,0.61,0.7,12.76,0,0,2.63,0,0,18.92,0,0,0,216.62,2.62,0,0,0.71,0,11.97,0,0,5.7,0,0
 96-106,5.33,0,25.33,1.05,0,0,6.81,2.1,0,0,1.06,0,14.56,0,2.34,0,216.75,1.28,0,0,1.83,0,13.16,0.83,1.57,7.68,0,4.94
108-118,14.83,3.41,9.72,0,0,0.68,3.82,0.53,0,0,0,0,8.06,0,2.05,0,275.91,6.59,2.26,0,2.38,0,9.87,0,0,4.69,4.13,0
120,8.06,0,9.51,1.99,0,0,20.39,1.29,0,0,0,1.34,18.15,0,0,0,349.91,0,3.23,0,0,0,2.5,0,0,2.43,0,0
