stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,111.68,845.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.6,0,0,0,0,0,0,0,0,0
  5-6,479.24,1495.09,0,32.07,0,0,0,0,0,0,0,0,0,42.32,0,0,0,0,0,0,0,0,0,0,0,460.56,0,0,0,102.67,0,73.94,0,0,0,0,0,0,0,0,0
  7-9,100.65,29.46,0,65.22,0,0,0,51.62,0,0,0,0,0,61.5,0,0,0,0,0,0,0,0,0,0,0,663.13,57.75,0,0,921.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.42,0,33.63,0,0,0,55.17,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,399.4,28.79,0,0,288.86,0,0,0,27.85,0,5.96,0,0,0,0,0
 14-21,0,0,0,1.85,23.65,5.13,0,4.64,0,0,0,3.88,2.04,0,0,0,0,0,0,0,0.94,11.33,0,0,12.9,119.74,14.31,0,5.45,1.69,0,2,297.76,0.9,0,23.01,38.45,0,1.26,0,0
 24-34,0,0,0,0.84,3.97,0,0,8.98,0,0,0,2.44,2.19,0,0.75,0,0,0,0,0.67,0,4.38,0,0,1.52,129.86,4.44,1.82,0.62,0,0,6.22,0,0.88,0,2.97,32.55,0,2.43,0,0
 36-46,0,0,0,0,0,0,0,15.14,0,17.22,0,4.96,0,0,0,0,0,0,0,12.24,0,6,0,0,0,80.8,1,0,1.66,0,0,9.8,0,11.33,0,0,14.53,0,2.47,0,0
 48-58,0,0,0,0,9.68,0,0,26.51,2.03,0,0.83,8.85,2.53,0,0,0,0,5.36,0,2.43,0,9.46,0.47,0,0.91,72.66,0,1.61,2.47,0,0,5.07,0,0.74,0.55,0,7.94,0,4.98,0,2.62
 60-70,0,0,0,0,2.68,0,0,37.8,0.68,0,0,5.8,6.56,0,0.77,1.38,0,0,0,0,0,11.16,0,0,2.27,38.97,0,0,0.83,0,0,2.81,0,0,0,0,0,0,1.71,0,0
 72-82,0,0,0,0,8.1,0,0,21.89,0,0,1.59,9.55,2.13,0,1.25,0,0,0,0,0,0,9.34,0.92,0.75,2.61,24.66,0,0,0,0,0,3.39,0,0.64,0,0,2.06,0,1.46,0,0
 84-94,0,0,0.66,0,2.33,0,0.58,4.94,0,0.58,0.82,4.45,1.3,0,0,0,0.6,1.24,0,0,0,18.07,0,0,1.95,18.92,0,1.26,2.5,0,0,5.8,0,0,0,0,1.77,2.39,2.62,1,0
 96-106,0,0,1.15,0,0,0,0,21.65,0,0,0.8,3.59,0.75,0,1.53,0,0,0,0,0.7,0,14.91,0,0,0,16.79,0,0,1.2,0,0,12.64,0,0,0,0,0,0.94,2.27,0,0
108-118,0,0,0,0,6.23,0,0,5.22,0,1.24,0,7.25,0,0,0,0,1.27,0,0.92,0.63,0,16.91,0,0.5,2.97,20.87,0,0,1.65,0,0,3.48,0,0,0.43,0,0,0,2.36,0.49,0
120,0,0,0,0,21.48,6,0,18.12,1.01,0,0,11.98,1.66,0,0,0,1.25,0,0,0,0,37.23,0,0,3.65,44.7,0,0,2.74,0,2.76,14.36,0,0,0,0,0,1.54,1.59,0,0
