stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,0,0,25.17,0,0,0,0,0,0,0,0,0,192.98,5.25,0,0,34.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.27,0,0,0,0,0,0,0,0,0,155.71,7.02,0,0,35.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.52,2.85,1.09,0,2.65,0,0,0,0,1.77,0,0,41.76,5.07,0,0,0,0,0,6.94,13.38,3.92,15.81,0,0,0,0
 24-34,0,0.63,3.14,5.61,0,0.72,0,0,0.64,0.78,3.89,0,0.84,78.12,0,0.61,1.91,0,0,7.97,0,0,2.74,27.46,0,0,0,0
 36-46,0,2.74,2.1,12.41,0,6.17,0,0,0,0.72,1.56,0,0,33.77,0,0.88,0,0,0,11.09,0,0,0,13.41,0,0,0,5.23
 48-58,0,0,0,11.19,0,1.92,0,0,0,0.37,5,2.59,0.97,22.93,0,0,0,0,0,5.83,0,0,0,6.81,0,0,0,0
 60-70,0,0,0,15.67,0,0.86,0,0,0,1.16,1.17,0,0,9.07,0,0,0,0,0.71,0.57,0,0,0,1.86,1.99,0,0,0
 72-82,0,0,0,0,0,4.74,0,0,0,0,6.74,0,0,12.92,0,0,0,0,0,4.16,0,0,0,1.18,0,0,0.54,0
 84-94,0,0,0,2.32,0.57,0,0,2.85,0,0,2.67,0,0,4.04,0,0,0,0,0,2.57,0,0,0,6.24,0,0,0,0
 96-106,0,0.59,0,1.13,0,3.87,0.63,0,0,0,0.69,0,0,6.7,0,0,0.63,0,0,2.4,0,0,0,0,0,0,0,0
108-118,0,0,0.42,15.39,0,0,0,0,0,0.95,0.43,0,0.97,9.03,0,0,0,0,0,1.42,0,0,0,0,0,0.59,0,0
120,0,0,0,0,0,10.85,0,0,0,0,3.01,0,0,21.69,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0
