stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,88.73,1262.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.61,355.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.5,0,0,0,33.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.49,0,0,0,61.28,4.34,0,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,41.86,0,5.31,0,21.76,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,187.15,3.05,0,0,87.88,4.49,6.03,4.19,26.55,0,0,0,0,0,0,0,0
 14-21,0,0,14.88,2.58,0,3.94,0,0,0,1.78,0,0,0,0,0,0,0,0.85,16.03,0,0,7.04,46.5,1.13,0,0,1.65,4.7,0,11.12,0,0,12.67,8.44,0,0,0,0,0
 24-34,0,0,1.4,1.61,0,9.29,0,0,0,0,0,0,1.77,0,0,0,0,0,2.55,0,0,2.79,95.11,0,0,0,0,10.8,0,0,1.4,0.66,2.82,28.46,0,0,3.28,0,0
 36-46,0,0,0,0,0,9.39,0,0,0,1.68,0,0,0,0,0,0,0,1.83,13.04,0,0,1.68,61.22,0,0,0,0,30.38,0,0,0,0,0,15.2,0,0,2.29,0,4.52
 48-58,0,0,2.25,0,0,43.19,1.33,0,0.75,7.53,0,0,1.05,0,0,0,0,0.54,11.38,0.97,0,2.87,87.78,0,0,0.62,0,1.78,0,0,0.56,0,0,24.57,0,0,0,0,0
 60-70,0,0,7.67,0.82,0,49.89,0,1.03,1.69,5.02,1.29,0,0,0,0,1.2,0,0,7.49,0,0,0,64.06,0,0,2.11,0,1.38,0,0,0,1.01,0,20.32,0,0,0.72,0,0
 72-82,0,0,1.35,0,0,51.8,0,0.57,0.51,11.46,0.92,0.6,2.04,0.6,0,0,0,1.89,16.12,1,0,2.91,106.31,0,3.08,0.52,0,1.2,0,0,0.53,0,0,19.05,0,0.52,9.04,0,8.59
 84-94,0,0,7.27,3.88,0,34.19,0,0.9,0,4.97,0,0.64,0,0.58,0.6,4.3,0.83,1.36,25.52,0,3.25,2.82,71.2,2.56,0,0.61,0,14.9,0,0,1.99,0,0,3.65,0,1.13,0,3.24,0.86
 96-106,0,0,7.44,0.56,0,22.16,0,0,0.63,10.26,0,0,0,2.11,0,0.89,0,0,16.65,0,0.59,2.6,32.58,0,0,1.42,0,10.03,0,0,1.7,0,0,0,0,0,9.24,0,2.82
108-118,0,0,17.77,13.95,1.13,34.05,0,0.73,0.6,9.09,1.73,0,0,1.94,0,8.78,0,0,15.76,4.66,0,4.24,79.46,0,4.59,0.56,0,21.02,0,0,0,0,0,6.41,0.44,5.8,3.95,1.21,1.25
120,0,0,1.54,1.61,0,29.71,0,0,0,31.44,0,5.2,0,1.26,0,0,8.77,0,88.44,0,0,1.32,81.32,0,14.18,0,0,16.17,0,0,0,0,0,18.1,0,0,3.87,0,0
