stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,93.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,144.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
  7-9,14.9,5.59,0,4.49,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,56.17,0,0,0,23.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,25.3,3.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.51,0,0,0,0,0,0,0,0,8.77,0,0,9.67,0,3.2,3.91,0,0.93,0,0,9.2,1.01,0.81,7.22,0
 24-34,0,0,0,0,4.24,0,1.7,0.8,0,0,0,0,0,0,0,0,0.6,0,0.73,21.76,0.79,0,0.65,0,10.39,0,0,16.94,0
 36-46,0,0,0.73,0,0,0,1.98,0,0,0,0.56,0,0,13.14,0,0,7.06,0,2.59,78.54,1.67,0,12.63,0,8.46,0,0,16.27,0.78
 48-58,0,0,0,0,5.97,0,1.49,0,0,0,0,0,0,0,0.89,0,5.11,0.49,2.02,43,0,1.28,0,0,1.41,0.74,0,12.34,0
 60-70,0,0,0,0,1.73,0,7.99,0.59,0,0,0,0,0,1.33,0,0,34.07,0,2.07,47.25,0,0,0.87,0,11.3,0,0,0,0
 72-82,0,0,0,0,19.29,0,31.68,4.07,0,1.8,0.81,0,0,5.18,0,0,69.98,0,0,35.43,0,0,1.53,0,17.75,0,0,3.21,3.96
 84-94,1.23,0,0,0,26.68,0,20.46,10.42,0,0,0,0,0,0,1.23,0,71.42,1.23,0,6.33,0,0,5.62,0,37.14,0,0,8.57,0
 96-106,0,0,0,0,93.75,3.96,18.88,11.38,2.03,1.15,1.43,0,0,5.98,3.71,5.84,83.33,0.98,0,15.97,0,0,0.84,0,26.16,0,0,6.66,0
108-118,0,0,0,0,93.61,4.45,17.08,3.99,0,0.63,4.68,0,0.65,12.69,0,0,98.41,0,0,19.9,0,0,4.28,0,11.87,1.84,0,5.87,0
120,0,0,0,0,102.85,0,3.68,11.86,0,0,0,0,0,4.24,0,0,98.77,0,0,47.94,0,0,9.51,0,21.72,0,0,0,0
