stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,0,0,0,4.74,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.89,0,0,0,0,0,0,11.13,0.91,0.86,0,0,0
 24-34,0,0,0,1.43,0,0,1.8,0,0,0,0,0,5.61,0,4.09,0,0,0,9.58,0,5.1,8.13,0,0.83,0,0,9.34,3.69,19.49,1,2.03,0,3.01,0
 36-46,0,0,0,0.66,0,0,0,2,0,0,0,0.56,6.08,0,4.22,0,0.74,0,5.56,2.69,4.03,25.49,0,3.16,0.85,16.41,2.71,4.37,48.15,0,9.57,0,0.9,0
 48-58,0,0,0,0,0,0,8.53,1.95,0,0,2.8,1.57,4.6,0,0,0,0,0,2.92,1.17,0.62,35.61,1.75,0,0.39,0,0.68,1.47,26.45,0,5.05,0,3.68,0
 60-70,0,0.62,0,0,0,0,25.62,3.78,2.17,1.21,0,5.89,16.87,0,0,0,0,0,0.7,3.87,0,22.75,0,0,0.64,0,0,1.69,20.11,0,0,0,0.58,4.82
 72-82,0,0.69,0,0.84,0,0,19.58,0,0,0,29.25,1.13,1.96,0,0,0,1.6,0,12.8,10.87,1.92,47.62,0,5.58,2.63,0,0.61,1.75,23.18,0,4.27,0,8.03,0
 84-94,0,0,1.04,5.29,0,0,10.23,10.19,0,0,14.5,4.77,1.58,2.56,0,0.58,0,0,0.92,2.43,0,31.12,0,4.64,2.33,0,0.62,2.1,18.95,0,0,0.83,5.62,0
 96-106,0,1.04,0,6.22,1.24,0,19.69,3.16,0,0,75.05,4.48,0,0,7.26,2.22,0.9,11.06,7.49,25.97,2.23,55.97,0,6.95,3.1,0,18.12,3.32,16.1,0,1.91,2.03,8.79,0
108-118,0,1.56,0,0.49,1.85,0,17.76,8.33,0,0,45.14,20.45,5.75,0,3.75,0,0,0.43,11.81,1.64,5.84,57.78,0,1.96,2.24,0,1.88,0.61,20.96,0,2.24,0,4.23,0
120,0,0,0,10.55,0,1.91,20.07,1.1,0,0,42.33,20.27,7.84,0,0,0,0,0,6.09,0,7.29,91.91,0,0,9.66,0,0,0,10.15,0,7.84,0,25.7,0
