stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,406.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,93.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.57,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.54,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13,11.6,0,0,7.21,0,0,0,8.56,5.96,0,0,0,0,0,0
 14-21,0,0,0,0,10.89,0.86,0,1.21,0,0,0,0,1.08,0,0,0,0,0,0,0,0,6.98,0,0,0.86,11.1,0,0,0,0,0,1.35,2.5,0,2.56,0,0,0,0,0,0
 24-34,0,0,0,0,9.41,0,0,4.52,0,0,0.74,1.63,0,2.21,0,1.04,0,0,0,0,0,6.04,0,0,2.67,22.49,0,0.99,0.63,0,0,12.81,0,1.45,0.8,6.67,0,0,0.63,0,0.95
 36-46,0,0,0,0,2.47,0,0,0.58,0.67,0.89,1.85,0.63,0.83,0,0,0,1.21,0,0.79,0,0,12.11,0,0,3.69,35.31,0.66,0,1.5,0,0,33.63,0,0,0,3.3,0,0,1.62,0,0
 48-58,0,0,0,0,5.42,0,0,3.43,2.26,0.44,0.57,1.62,0,0,0,0,0,0,0,0,0,20.14,0.95,0,3.02,30.99,0,1.65,0,0,0,3.69,0,0,0,5.61,0,0,1.46,0,0.56
 60-70,0,0,0,0,8.3,0,0,9.69,0,2.9,1.06,23.78,3.09,0,0.7,0,0,0.66,0.7,0,0,25,0,8.46,1.62,25.88,0,1.76,0.63,0,0,7.26,0,0,0,1.24,0,0,0.57,0,0
 72-82,0,0,0,0,1.11,0,0,10.46,1.01,0,0,5.68,3.1,0,1.84,0.65,1.75,0,1.54,0,0.64,40.51,0,3.83,1.33,26.34,0,2.04,3.4,0,0,5.06,0,0.73,0,1.96,0,0.75,13.36,1.5,4.05
 84-94,0,0,1.43,0,3.58,0.65,0,23.21,0,4.79,1.02,3.09,1.99,0,0.6,1.03,3.25,0.71,7.52,0,3.32,17.32,0,2.04,6.32,10.8,0,0,1.79,0,0,10.35,0,2.65,0,5.35,0.57,0,2.05,1.49,0.66
 96-106,0,0,0,0,3.83,0,0.97,8.04,0,1.13,1.01,16.51,3.07,0,0,1.27,0.87,0,3.14,2.14,0,34.35,0,2.08,0.81,20.04,0,2.43,0.74,0,3.88,5.35,0,0,0,4.78,0,0,2.84,3.59,1.13
108-118,0,0,0,0,5.97,0,1.01,9.77,0.5,1.34,0,12.35,9.79,0,3.23,0.69,0,3.07,0,5.72,0.61,28.41,0,0.51,3.4,17.15,0,1.59,0,0,0,3.22,0,0,0,1.08,3.19,0,1.73,0,5.96
120,0,0,0,0,7.74,0,0,0,0,0,0,21.92,5.33,0,0,0,0,0,1.97,0,1.51,15.27,0,0,0,35.48,0,0,0,0,19.01,2.32,0,2.05,0,0,0,0,1.65,0,0
