stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.33,1246.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,0,0,0,0,0,0,0,0,0,0
  5-6,30.11,457.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.43,0,9.86,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.93,0,0,0,27.77,0,0,23.44,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,0,0,0,0,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.65,0,0,0,19.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.31,0,0,8.97,0,0,0,5.05,0,0,0,0,0,0,0,1.77,6.69,0,0,0,127.11,0,1.92,1.09,0,0,0,0,2.2,0,0,42.7,0,0,0.98,0,1.06
 24-34,0,0,0,0,0.65,0,0,38.84,0,2.92,0,4.57,0,0.67,0,0,0,0,0,4.26,20.26,0,0,5.78,574.27,0,10.05,4.04,0,0,1.67,0,0,0,0.62,164.1,0,0,5.16,0,0.6
 36-46,0,0,0,0,6.17,0,0,123.34,0,0,5.69,14.48,0,2.75,0,0,0,0,0,66.81,107.1,0,1.42,19.12,1483.78,0,10.77,3.84,0,0,0,0,18.37,0,0,345.69,0,0,8.57,0,3.56
 48-58,0,1.29,0,0,5.78,0.48,0,524.37,0,0,6.28,47.19,0,3.22,0.55,0,0,0.48,0,22.52,167.66,0.5,3.77,19.07,1828.35,0,5.94,4.68,0,0.56,10.67,0,0,1.13,0,335.25,0,0.74,1.77,0,46.72
 60-70,0,0,6.75,0,26.21,0,0,1434.65,0,0.66,20.38,37.37,0,3.14,0,0,0.62,1.96,0,7.78,229.31,0,4.52,16.51,2102.56,0,2.71,13.93,0,0,0.64,0,0,0,0,302.01,0,11.99,5.9,2.86,48.64
 72-82,0,0,0,0,9.04,1.36,0.76,1082.02,2.27,0,27.24,57.3,0.58,3.94,0,0,4.94,0.6,0,15.1,265.42,0,19.56,8.35,1472.73,0,0,10.1,0,1.03,2.99,0,0,0,0,154.06,0,8.36,4.68,11.92,13.41
 84-94,0,0,4.51,0,5.87,2.14,0,830.58,0.56,1.57,15.46,67.11,0,3.97,0.93,1.51,10.32,1.42,0.83,27.17,211.04,0,10.3,3.89,951.64,1.84,1.64,10.81,0,1.59,0.89,0,0,0,0,116.7,0,7.74,3.08,3.95,2.17
 96-106,0,0,0,0,18.1,0,0,759.18,1.64,3.6,16.43,75.56,0.56,5.26,0,0.8,6.9,3,4.38,7.16,172.63,0,3.62,8.52,703.41,0,1.44,13.31,0,4.74,13.06,0,0,0,0,37.12,0,8.81,21.58,16.25,11.32
108-118,3.02,0,0,0,12.04,3.03,0,762.96,0,0.49,3.71,59.59,0.8,4.66,1.25,0,3.39,1.37,2.4,12.29,175.8,0,11.45,5.14,981.19,0.46,7.99,14.92,0,4.64,3.85,0,0,0,0,42.85,2.07,4.26,9.51,9.19,4.34
120,0,0,0,0,11.05,1.34,2.68,640.23,0,2.41,7.13,106.45,0,3.65,1.01,0,25.85,3.84,0,14.14,206.15,0,5.97,7.39,1449.42,0,1.48,15.66,0,0,9.69,0,0,0,0,31.36,1.19,34.93,13.16,20.27,0
