stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.49,0,30.69,0,0,0,296.26,0,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,0,0,771.47,12.28,0,0,170.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,72.8,0,19.72,0,5.32,0,215.32,0,0,0,0,0,28.49,0,0,0,0,0,0,0,0,0,0,0,1867.81,27.38,0,0,444.47,0,12.28,8.55,49.28,0,6.54,5.09,0,0,0,0,0
 14-21,0,0,7.65,110.71,15.95,0,126.72,0,0,0,5.41,2.15,0,0,0,3.16,0,0.93,0,2.52,45.35,0,0,46.57,716.74,3.99,1.89,8.83,32.1,3.53,0,128.97,0.87,6.71,248.4,168.92,0,0,1.24,0,1.69
 24-34,0,0,7.27,20.51,2.86,0,120.43,1.2,2.1,0,13.98,3.38,0,0,2.53,0,0.8,3.86,4.42,0.69,48.09,0,0,28.28,715.47,4.45,1.06,10.66,0,3.01,0,1.92,0.88,2.01,47.85,112.32,0,0,1.08,0,8.81
 36-46,0,0,0,29.13,0,0,87,11.82,0,0,28.94,0,0,0,0.56,0,0,0,2.52,0,32.7,0,1.81,19.5,458.24,0,4.5,6.72,0,1.46,0,0,0,0,4.14,55.36,0,0,4.44,0,8.72
 48-58,0,0,0,5.77,0,0,132.42,0,8.1,3.53,58.31,0.58,0,0.53,4.15,0,0,1.31,0,0,37.64,0,1.8,14.46,232.78,0.52,0.79,1.39,0,1.77,0,0,0,1.36,0,20.8,0,0,0,0,0
 60-70,0,0,0,1.34,1.06,0,85.72,1.91,3.59,1.59,49.41,0,0,0.6,0.6,6.91,0.67,3.38,4.33,0,52.22,0,3.43,20.5,186.65,0,0.74,0,0,1.32,0,0,0,0,0,16.88,2.13,0,0,0,0
 72-82,0,0,0,6.37,2.4,0,40.08,2.9,0,0.56,37.52,0,0,0.51,2.04,0.7,0.54,3.51,4.26,0,35.38,0,1.45,18.16,142.26,0,1.33,0,0,1.95,0,0,0,0,0,22,0.92,0.76,4.05,3.92,2
 84-94,0,0,0,9.22,3.76,0,53.68,0,0,5.26,45.37,2.92,0,0.7,3.72,1.2,0,2.18,2.98,0,49.95,0,1.65,14.69,107.21,0.88,0.9,1.88,0,0,0,0,0,0,0,12.67,0,0.63,1.42,3.26,0
 96-106,0,2.16,0,11.98,2.86,0.98,45.55,7.88,2.07,2.79,61.98,2.12,0,2.82,5.16,1.16,0,3.77,3.56,0,36.14,0,0.59,10.3,104.03,6.5,1.86,5.6,0,3.74,0,0,0,0,0,12.49,0,1.36,0.97,0.98,0
108-118,0,0.84,0,19.4,9.52,6.61,46.35,9.33,0,5.4,60.48,4.76,0,2.42,5.45,2.96,5.92,2.36,24.09,0,83.84,2.89,1.61,32.43,178.24,2.06,4.24,3.1,0,0.7,0,0,0.92,0,0,0.96,0.69,1.45,1.97,3.59,0
120,0,0,2.55,28.54,22.66,0,70.21,0,0,8.5,170.27,6.69,0,6.41,17.43,0,0,7.01,10.34,0,87.76,1.49,0,66.15,306.72,0,0,10.86,0,0,0,0,1.26,1.6,0,25.08,0,3.52,3.94,0,17.42
