stage,epidermis,eye,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
 14-21,0.91,0,0,3.65,0,0,0,0,1.83,0,1.81,0.98,4.93,0
 24-34,0,0.63,0.61,0.65,0,0,0,0.65,4.06,0,0,0,3.62,0
 36-46,0,1.29,0,0,0,0,1.13,0,8.79,1.27,0,0,3.93,0
 48-58,0,1.98,0,0.98,0,0,0.79,0,0.67,0,0,0,4.83,0
 60-70,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0
 72-82,0,0,0,3.73,0,0,2.23,0,3.53,0.77,0,0,0,0
 84-94,0,0,0,0,0.8,0,0.6,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0
108-118,0,0,0,0.74,0,0,1.01,0.65,0.46,0,0,0,0,2.27
120,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0
