stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord,xanthophores
  3-4,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.54,0,6.11,0,11.67,0,0,0,0,0,0,80.29,0,0,15.31,0,0
 10-12,0,3.64,0,0,18.73,0,0,0,0,0,0,68.97,0,0,68.97,0,0
 14-21,0,0,0,0,0,0,1.08,0,3.05,0,0,6.19,0,0,0,1.88,0
 24-34,0,0,0,0,3.41,0,0,0,0.61,0,0,21.73,0,0,0,4.34,0
 36-46,0,0,0,0,2.03,1.54,0,0,1.25,0,0,11.7,0,0,0,5.47,0
 48-58,0,0,0,0,6.49,0.67,0,0.37,6.23,0,0,26.01,4.28,0,0,12.97,0
 60-70,0,0,0,0,6.15,0,0,0,0.61,0,0,12.52,0,0,0,2.37,1.18
 72-82,0,0,0,0,2.42,0.84,4.74,0,0,0,0,11.11,0,0,0,0.99,0
 84-94,0,0,0,0,2.65,0.72,0,0,0,0.81,0,5.77,0,0,0,0,0
 96-106,0,0,0,0,2.52,0,0,0,0,0,1.21,10.92,0,1.18,0,0,0
108-118,0,0,0,0.81,1.01,0,0,0,0.91,0,0,2.27,0,0,0,0,0
120,0,0,0,0,7.22,2.01,1.66,0,0,0,0,1.4,0,0,0,0,0
