stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,pronephros,somites
  3-4,0,100.38,0,0,0,0,0,0,0,0
  5-6,25.46,195.2,0,0,0,0,0,0,0,0
  7-9,3.27,12.65,0,23.27,29.45,309.47,31.36,111.6,0,0
 10-12,0,0,7.03,22.68,0,108.95,33.22,98.44,7.85,4.89
