stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,325.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.94,368.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.97,0,0,25.84,0,0,0,11.52,0,0,0,0,0,137.43,0,0,0,28.74,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.93,0,0,0,0,0,0,0,0,0,73.72,4.38,0,0,23.17,0,0,8.2,0,0,0,0,0,0
 14-21,0,0,6.12,0.81,2.6,0,1.69,0,0,0,0,1.67,0,2.6,35.93,0,0,0,0.81,2.44,7.46,0,0,5.31,9.83,0,0,0
 24-34,0,0,0,0,1.48,0,1.74,0,0,0,0,2.76,0,2.79,35.93,0,0,0,0,0,0,0,0,0,7.29,0,0.87,0
 36-46,0,0,0,0,8.64,0.74,1.21,0,0,0,0,1.06,0,0,19.04,0,0,0,0,1.73,0,0,1.04,0,6.49,0,0,0
 48-58,0,0,0,0,3.51,0,1.54,0,0,0.4,0,1.57,0.63,0,14.09,0,0,0,0,5.13,0,0,0,0,4.71,0,0,0
 60-70,0,0,0,0,2.31,0,2.07,0,0,0,2.89,7.3,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.52,0,0,0,1.87,0.65,0,0,0,6.56,0,0.89,14.54,0,1.14,0,0,0.81,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,8.96,0,1.54,0,0,0,0,0.56,0,3.41,3.27,0,0,0.79,0,0.74,0,0,0,0,0,0,0.91,0
 96-106,0,0,1.61,0,3.16,0,0,0,0,0,0,1.34,0,0.88,11.48,0,1.03,0,0,0.8,0,0,0,0,0,0,1.16,0
108-118,0,0,0,0,3.07,0,0.68,0,0,0,0,0.47,0,0,5.77,0.41,0,0,0,1.57,0,0.47,0,0,2.04,0,0.51,1.48
120,0,0,2.49,0,0,0,21.36,0,0,0,0,21.39,0,0,9.62,0,0,0,0,0,0,0,0,0,0,1.99,0,0
