stage,axial,blastomeres,endoderm,hatching.gland,neural,paraxial.mesoderm
  3-4,0,23.84,0,0,0,0
  5-6,8.29,54.34,0,0,0,7.71
  7-9,0,3.78,3.56,4.61,35.21,11.87
 10-12,0,0,0,0,16.01,0
