stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.69,21.19,0,0,24.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,75.15,0,2.31,0,0,0,7.37,0,0,0,0,0.87,0,0,0,0.83,0,0,11.72,228.11,26.61,0,1.09,5.66,0,2.95,0,4.34,0,0,0.84,97.24,0,0,0,0,7.99
 24-34,0,0,9.71,222.49,0.95,3.66,0,2.33,0.71,20.74,0,3.92,0,0.63,0,0.85,0,0,48.71,2.18,0,21.81,296.9,7.89,1.47,0.77,0,0,14.01,0,0,5.48,3.77,4.13,163.8,0,0,128.32,0,6.76
 36-46,0,0,2.97,198.64,0,3.5,0,35.31,22.36,7.05,0,1.71,0,0,0,0,1.74,0,56.03,0,0,10.25,158.32,0,0,1.82,0,0,25.06,0,0,7.49,5.95,0,84.54,0,0,66.77,0,21.19
 48-58,0,0,1.66,183.14,7.12,13.19,0.39,51.04,43.42,4.17,1.08,2.4,3.79,0,4.46,0,1.61,0,115.37,2.38,0,1.58,313.55,0,0,0.61,0,0,2.79,0,0,1.3,0,0,67.72,0,0,66.11,0,58.8
 60-70,0,0,0,151.2,0,28.11,1.1,52.06,43.78,1.26,0.67,1.48,0,0,6.49,0,0,0,105.25,2.41,0,2.52,307.08,0,0.89,1.26,0,0,0,0,0,1,1.71,0,21.4,8.05,0,20.43,0,15.17
 72-82,0,0,0,94.19,0.63,78.04,0.58,37.84,68.45,3.35,1.86,2.28,0,0,2.69,0,0,6.49,71.93,1.29,0.75,1.8,198.37,0,0,4.96,0,0,1.6,0,0,0,7.84,0,25.02,1.86,0,61.46,0,22.15
 84-94,0,2.22,0,211.26,0,135.79,6,64.06,33.75,13.3,5.3,1.92,0,0,16.65,0,0,0,60.65,1.42,4.21,3.08,118.42,0,0,0,0,0,2.03,0,0,0,18.43,0,30.37,9.57,0,79.53,0,0.7
 96-106,0,1.62,0,133.3,6.89,143.3,11.96,52.75,21.1,8.54,1.26,0,0.56,0,6.78,0,0,0,53.78,0,0,13.85,114.56,0.62,1.24,0,0,0.87,0.8,4.11,0,0,3,0,27.33,12.51,2.09,63.8,1.8,8.08
108-118,0,0,0.74,165.12,8.22,174.26,8.39,97.53,34.41,2.93,5.56,0.78,0.84,0,16.02,2.4,0,0,59.01,0,0,9.38,177.52,0,0.82,0,0,0,3.41,0,0,0,6.78,0,31.54,13.83,2.26,46.8,1.69,14.29
120,0,0,0,173.94,8.46,167.69,0,62.48,41.26,15.25,6.83,0,0,0,8.34,0,0,0,15.2,0,1.38,18.25,181.08,0,1.15,1.66,0,0,0,0,1.12,0,3.99,0,26.6,11.1,4.4,35.64,0,0
