stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.49,430.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,691.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.06,0,0,0,19.12,0,15.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.29,0,0,0,0,32.35,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,296.62,4.44,0,0,53.59,0,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.59,0,0,0,0,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.72,0,0,0,40.76,0,0,6.79,0,19.81,0,6.05,0,0,0,0,0,0
 14-21,0,0,1.11,0.84,26.03,5.5,14.49,0,0,0,8.95,1.93,0,1.5,0,0.92,0,0,0,0,11.83,0,17.43,234.56,6.26,0,2.6,3.12,0,0,0,30.93,0.85,0.83,16.26,66.21,0,0,1.45,0,0
 24-34,0,0,0,1.8,5.53,0,34.1,0.64,1.47,0,4.51,0.67,0,0,0,0.63,0,0,0,0.67,31.54,0,18.83,485.77,1.96,1.68,1.66,0,0,9.12,0,2.33,0,1.49,2.35,123.67,0,0,7.09,0,0
 36-46,0,0,0,0,1.16,0,69.34,0.63,1.06,0,18.24,0,0,0,1.19,0,0.56,0.77,0,0,28,0,5,405.58,0.62,6.81,1.59,0,0,9.38,0,0,2.28,0,0,106.44,0,0,2.16,0,0
 48-58,0,0,0,0,4.78,0.45,116.73,0,0.44,1.15,21.56,1.26,0,0.4,0,0,0,0,2.35,0.88,52.16,2.81,5.99,266.05,0,0,5.3,0,0,6.41,0,0,0,0,0,68.76,0,0,8.4,0,2.62
 60-70,0,0,0,0,2.05,0,100.03,0,0,0.86,25.28,4.35,1.21,0,1.28,0,0,0,3.22,0,52.78,0,12.01,218.81,0,4.08,0,0,0,0.6,0,0,7.73,0,0,27.53,0,1.29,1.9,0,2.54
 72-82,0,0,0,0,1.8,0,80.05,0,0,0.75,26.6,0.72,0,0,0,0,0,1.87,0,0.5,38.57,0,3.36,133.16,0,2.47,0,0,0,1.94,0,0,0,2.88,0,16.98,0,2.71,3.92,0.84,1.3
 84-94,0,0,0,0,3.05,0,65.24,0,2.09,5.62,17.67,0.81,0,0,1.29,0.56,0.66,0,0,0,38.67,0,2.09,134.22,0,0.93,0,0,0,8.4,0,0,0,0,0,21.81,1.03,1.55,6.1,1.53,2.44
 96-106,0,0,0,0,3.41,0,47.59,0,0,1.77,26.72,0,0,2.33,0.93,0,0,1.6,1.56,0,34.59,1.41,8.29,112.42,0.58,1.69,0,0,0,13.08,0,0,0,0.72,0,14.28,0,1.3,7.96,0,0
108-118,0,0,0,0,2.47,0,62.72,2.98,0.42,0,24.14,0.56,0,0,0,0,0.82,0.98,1.34,0,46.54,8.28,5.36,147.51,0,2.36,1.15,0,0.86,3.95,0,0,1.15,0,0,7.43,0,0,4.81,0,0
120,0,0,0,0,5.38,0,32.42,0,0,0,32.14,0,0,0,6.1,0,0,0,0,0,43.86,0,12.71,104.11,1.28,5.41,0,0,0,8.28,0,0,0,0,0,5.61,0,0,9.94,0,0
