stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.01,6.25,0,0,138.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.77,0,186.14,0,0,9.21,0,0,0,0,0,5.62,0,0,0,0,0,5.32,0,0,0,0,0,434.11,195.7,0,0,721.15,0,0,12.18,0,0,92.62,0,0,0,0
 14-21,4.62,0,19.03,90.03,263.79,33.47,235.58,0,6.26,0,57,60.76,9.73,0,0,23.81,0,0,0,0,157.87,0,0,683.51,440.25,462.04,0,0.81,16.57,0,1.97,459.92,13.98,1598.78,6263.94,1976.94,0,2.18,0
 24-34,0,0.83,5.2,5.91,129.31,4.09,354.22,1.69,27.47,25.6,43.15,11.04,0,0.68,2.4,10.74,1.61,1.56,0.95,7.46,287.35,8.25,0,333.69,375.01,184.2,4.74,0.98,0,1.14,8.72,11.37,0,577.86,836.74,1662.65,0,7.88,0
 36-46,8.46,0,3.18,1.18,33.49,0,140,0,1.19,28.92,16.58,21.95,0,0.73,1.03,14.24,0.83,0,0,0,108.4,1.57,0,60.81,103.57,51.2,0,0,0,0,8.42,0,0.72,81.67,5.17,480.06,0,1.26,0
 48-58,0,0,0,0,15.12,0,95.98,1.65,3.87,8.3,0.42,5.22,0,3.19,0,0,1.45,0,0,0,61.08,0,0,11.33,46.78,50.87,0,0,0,0,0,0,0,8.66,0,138.42,0,1.25,0
 60-70,0,0,0,0,13.13,0,123.87,0,0,1.23,0,6.87,0,0.92,0,0,0.63,0,0,0,20.2,0,5.65,1.83,28.73,12.19,0,0,0,0,2.56,0,0,10.38,0,30.01,0.91,0,0
 72-82,0,0,1.78,0,6.24,0,137.27,0,2.9,0,0,5.6,0,0,0,0,0,0,0.62,0,6.28,0,0,0.82,1.33,0.98,0,0,0,0,1.29,0,0,0,0,12.89,0,0,2.14
 84-94,0,0,2.58,0,1.13,0,197.53,0,1.82,0,0.64,5.94,0,0,2.13,0,0,0,0,0,4.56,0,0,2.69,3.74,8.67,0,0,0,0,0,0,0,0,0,5.48,0,1.23,0
 96-106,0,0,1.05,0,3.96,0,130.88,0,0,0,1.23,3.94,0,0,0,0,3.26,0,0,7.05,6.42,0,0,0.88,1.17,1.51,0,0,0,0,0,0,0,0,0,11.47,0,0,0
108-118,3.02,0,0,0,0.58,0,77.89,0,0,0,3.73,2.37,0,0,0,0,0.44,0,2.52,0,0.46,0,0,0.97,4.14,1.54,0,0,0,0,0,0,0,0,0,1.49,0,0,0
120,0,0,0,0,0,0,24.92,0,0,0,9.04,5.92,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0
