stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,74.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.06,0,0,0,17.03,0,0,0,0,0,0,0,0,0
 10-12,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.01,0,0,0,11.25,0,0,5.98,0,0,0,0,0,0
 14-21,0,0,0,1.69,0,2.74,0,0,0,0,0,0,0.81,0,0,1.02,0,0.83,0,0,19.6,0,0,0,0,0,0.97,0,0,0,5.14,0,0,0
 24-34,0,0,0,1.02,0,31.76,0,0,0,3.52,0,0,1.29,0,0,0,0,1.61,0,0,19.56,0.75,0,0,0,8.37,0,0.78,0,1.25,12.76,0,0,0
 36-46,0,0,0.64,0,0,30.94,1.13,0,0,1.12,0,0,0.63,0,0.6,0,0,0.83,0,1.19,22.25,6.51,0,0,0,0,0,0,0,0,10.32,0,0,0
 48-58,0,0,0,0,0,26.9,0,0,0,8.01,0,0,0,0,0,0,1.07,3.45,0,1.44,12.78,0,1.95,0,0,0.7,0,0,0,0,10.36,0,0,0
 60-70,0,0,0,0,0,185.05,0,0,0,6.76,0,0,0,0,0,0,0,4.02,0,0.6,38.25,0,1.72,0,0,0,0,0.97,0,0,2.24,0,0,0
 72-82,0,0,0,4.03,0,263.05,0,0,0,2.86,1.13,0,0.49,0,0,6.15,0,6.16,0,0,29.73,0,1.6,0,0,0,0,0,0,0,5.43,0,0,0
 84-94,0,0,3.77,0.67,0,299.35,0,0,5.79,7.87,0,0,0,1.45,0.81,0,0.86,7.32,0,0,23.26,0,0,0,0,0.68,0,0,0,0,0,1.63,4.75,0
 96-106,0,0,31.48,0,5.7,526.94,3.87,0,0,23.83,0,1.39,0,0,0,14.53,0,14.91,0,1.64,18.82,0,0,0.65,0,1.29,0,0,0.68,0,0,0,0.99,0
108-118,0,0.74,0,3.42,0,732.69,0,0,0,17.48,0,0,0.5,1.1,0,0,0,6.43,0,3.5,26.02,0,0,0,0,0,0,0,0.51,0,5.72,0,3.63,0
120,0,0,19.86,0,0,1294.7,1.1,3.99,0,53.69,0,0,0,2.93,8.05,0,0,29.38,2.91,3.33,110.35,0,0,0,0,7.14,0,1.02,0,0,0,0,0,6.61
