stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0
 24-34,0,2.14,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0.98,1.3,0,0,0
 36-46,0,0,0,0,0,0,0.75,0,0,0,1.2,0,0,18.2,0,0,0,0,5.26,0,0
 48-58,0,0,0,2.46,2.52,0,2.97,0,2.26,0,2.44,0,0,24.47,0,0,0,0,1.16,0,1.04
 60-70,0,0,0,11.3,1.18,0,3.06,0,0,0,2.2,0,1.08,52.38,0.63,0,0,0,0,0,0
 72-82,0.95,0,0,36,0,4.81,1.6,0,0.78,0,9.64,0,0,69.67,0.69,0,0,0,5.63,0,2.57
 84-94,0,0,0,16.6,0,0,1.44,0,5.93,1.73,2.35,0,3.14,48.24,1.27,0,3.66,0,0,0,0
 96-106,0,0,0,61.76,0,0,1.77,0,2.29,0,20.03,0,0,64.09,1.73,3.05,0,0,0,0,0.56
108-118,0,0,3.41,26.83,0,0,2.78,0,4.93,0,6.44,3.15,0,33.93,0.57,0,0,0,0,0,0
120,0,0,0,19.47,0,0,0,0,12.37,0,14.97,0,0,96.35,0,0,0,0,0,1.37,0
