stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,otic,spinal.cord,visceral.smooth.muscle
  3-4,19.46,0,0,0,0,0,0,0,0,0,0
  5-6,16.87,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.58,0,0,0
 10-12,5.5,0,0,0,0,0,0,29.4,0,0,0
 14-21,0,0,0,0,0,0,0.83,6.69,0,1.95,0
 24-34,0,0,0.68,0,0,1.57,0,8.75,0,8.19,0
 36-46,0,0,2.45,0.84,0,0,0,6.79,0,0.75,0
 48-58,0,1.66,1.09,0.62,0,0,0,1.6,0,0,0
 60-70,0,0,1.89,0.84,1.76,0,0,8.77,0,2.18,1.79
 72-82,0,0,4.46,0.69,0,0.85,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0
