stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,46.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.94,24.11,0,0,0,0,16.42,3.28,0,0,0,0
 14-21,0,0,0,13.77,1.49,1.77,0,0,0,25.67,0,0,0,0,0,0,3.32,0,0,0,21.77,0,8.74,1.78,1.56,0.99,27.16,73.74,0,0,0,0
 24-34,0,2.51,0,1.87,0,0,0,0,0,27.42,0,0,0,0,0.85,0,2.26,0,0,0.92,44.73,0.75,15.14,6.48,0,0.73,19.99,63.95,0,0,0,0
 36-46,0,0,0,4.95,0,2.63,0,1.15,0,42.32,0,0,0,0,0.56,0,3.96,0.58,0,0,75.83,0,15.55,3.43,0,0,8.86,82.92,0,0,0,0
 48-58,0,0,0,0.58,0,11.86,0,0,1.69,72.93,0,0,0,0,3.51,0,4.69,0,0,0.82,54.48,0,13.83,6.61,0,1.68,1.62,92.59,0,0,0,0
 60-70,0,0,0,3.89,0,6.7,0,0,0.63,88.69,0,0,0,0.56,4.71,0,8.11,0,0,0,35.81,0,18.71,13.43,0,0.67,2.43,39.93,0,0,0,0
 72-82,0,2.06,0,0.51,0,11.03,0,0,0,76.79,0,0.68,0.5,0,3.42,0,15.67,0,7.84,1.29,37.44,0,6.08,7.93,0,1.35,1.34,43.35,0.95,2.45,0,1.68
 84-94,0,2.76,0,5.71,0,13.17,6.71,0,0,57.54,4.85,0,0,0,3.37,0,11.77,0,0.95,0,5.88,0,18.82,22.27,0,0.94,6.32,32.64,0,0,1.04,0
 96-106,0,1.1,0,2.71,0,6.08,0,1.1,0,48.97,0,0,0,2.08,6.16,8.43,4.55,0,0.78,0,7.28,0,20.05,16.15,0,1.58,1.37,24.89,0,1.3,1.67,0
108-118,0,0,0,0.7,0,12.2,0,1.57,0,52.51,4.72,0,2.22,1.2,4.1,0,6.72,0,0,0,16.54,0,11.92,16.98,0,1.88,3.85,13.28,0,0,0,0
120,0,0,0,6.16,0,0,0,2.21,0,30.88,5.57,0,0,1.25,0,0,0,0,0,0,42.25,0,23.01,29.64,0,0,0,11.9,0,0,0,0
