stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.71,0,9.83,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.07,0,0,0,37.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.68,10.52,0,0,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1,25.87,0,0,45.1,0,0,6.41,0,5.9,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,8.86,4.11,4.58,0,0,0,2.34,1.07,0,0,0,0,0,0,0,11.87,0,0,3.56,53.16,0.9,0.83,0.96,0.88,0,0,0,16.24,0,0.81,4.93,24.22,0,0,0,0,0
 24-34,0,0,0,2.91,2.38,5.23,0,0,0,1.94,0,0,0,0,0,0,0,0,21.51,0,0,5.94,89.52,10.65,0,2.37,0,0,0.68,0,1.58,0,0,1.91,16.68,0,0,11.37,0,0
 36-46,0,0,0,2.41,0,9.3,0,3.73,0,4.67,0.56,0.83,0,0,0,0,0,6.93,25.89,0,0,7.3,53.45,3.23,0,0,0,0,0,0,0,0,0,0,19.85,0,0,1.57,0,1.22
 48-58,0,0,0,6.08,0,16.91,0.43,0,1.8,16.16,0.45,0.53,0,0,0,0.4,3.8,0,55.57,0,0,5.77,22.62,1.25,0.48,0.5,0,0.46,0,0,0,0,0,0,3.61,0,0,5.42,0,1.14
 60-70,0,0,0,0,0,18.58,0,0,0.64,14.13,0,0,3.99,0,0,0,0,0,118.31,0,0,8.43,35.9,0,0,0.65,0,0,0,0,0,0,0,0,10.37,0,0.61,0,0.59,0
 72-82,0,0,0,2.19,0,11,0,0,3.51,26.67,0,0.84,0,0,0,0,0,0,159.7,6.51,2.25,9.26,30.51,0,1.65,4.01,0,0,0,0,0,0,0,0,2.45,0,1.46,10.35,1.92,14.92
 84-94,0,0,0,2.17,0,10.81,0,2.49,1.89,12.71,0.84,4.12,1.21,0,0.62,1.47,1.13,0,169.02,0,7.8,6.2,37.04,1.51,0,0.76,0,0,2.13,0,0,0,0,0,4.12,0,3.55,7.95,0,23.9
 96-106,0,0,0,3.67,0,2.99,0,0,0.57,21.88,0,4.91,0,0,0.72,0,0,0,106.67,0,2.34,6.71,23.39,0,0,2.53,0,3.2,4.9,0,0,0,0,0,0.83,0.88,0,9.85,0,0.62
108-118,0,0,0,0.91,1.13,13.45,0,1.12,4.89,41.39,0.84,1.35,0,3.4,0,0,0,0,147.04,0,3.08,1.09,23.5,1.04,0,2.45,0,2.03,0,0,0,0,0,0,1.09,0,6.17,12.2,0,0
120,0,0,0,0,0,4.54,0,0,14.75,39.33,7.21,1.61,0,0,0,0,0,0,125.29,0,1.45,1.96,55.24,0,0,10.44,0,0,0,0,0,0,0,0,5.96,0,8.57,24.49,0,0
